" for more information or "," para obter mais informações ou "
"# of Items (and above)","# de itens (e acima)"
"# of Items vs. Destination","# de Itens vs Destino"
"Allow Shipping to Multiple Addresses","Permitir Envio para Vários Endereços"
"An error occurred while import table rates.","Ocorreu um erro ao importar taxas de tabela."
"Calculate Handling Fee","Calcular a taxa de manuseio"
"Carrier:","Transportadora:"
"City","Cidade"
"Close Window","Fechar Janela"
"Condition","Condição"
"Country","País"
"Custom Value","Valor personalizado"
"Date","Data"
"Delivered on:","Entregue em:"
"Delivered to:","Entregue para:"
"Description","Descrição"
"Displayed Error Message","Mensagem de erro exibida"
"Divide to equal weight (one request)","Dividir o peso igual (uma solicitação)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicar Linha #%s (País ""%s"", Região/Estado ""%s"", CEP ""%s"" e Valor ""%s"")."
"Enabled","Habilitado"
"Error:","Erro:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","Arquivo não foi importado. Veja a lista de erros a seguir: %s"
"Fixed","Fixo"
"Flat Rate","Taxa Fixa"
"Free Shipping","Frete grátis"
"Handling Fee","Taxa de Manuseio"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Info:","Informação:"
"Invalid %s ""%s"" in the Row #%s.","Inválido %s ""%s"" na Linha #%s."
"Invalid Country ""%s"" in the Row #%s.","País inválido ""%s"" na Linha #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Região/Estado inválido ""%s"" na Linha #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Preço de Envio Inválido ""%s"" na Linha #%s."
"Invalid Table Rate code for type %s: %s","Tabela de códigos de taxas inválida para o tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código inválido de tabela de taxas: %s"
"Invalid Table Rates File Format","Formato inválido de arquivo de tabela de taxas"
"Invalid Table Rates format in the Row #%s","Format de Taxas de Tabela Inválido na Linha #%s"
"Local Time","Hora local"
"Location","Localização"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd Máxima Permitida para Envio para Vários Endereços"
"Method Name","Nome do Método"
"Minimum Order Amount","Quantidade mínima do Pedido"
"N/A","Não Disponível"
"None","Nenhum"
"Options","Opções"
"Order Subtotal (and above)","Subtotal do Pedido (e acima)"
"Origin","Origem"
"Per Order","Por pedido"
"Per Package","Por pacote"
"Percent","Por cento"
"Price","Preço"
"Price vs. Destination","Preço vs. Destino"
"Region/State","Região/estado"
"Service Type:","Tipo de serviço:"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Shipment #","Entrega #"
"Shipment Tracking Popup","Popup de Rastreamento de Envio"
"Shipped or billed on:","Enviado ou faturado para:"
"Shipping Methods","Métodos de envio"
"Shipping Settings","Detalhes do Envio"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Signed by:","Assinado por:"
"Sort Order","Ordenação"
"Status:","Estado:"
"Store Pickup","Levantamento em Loja"
"Street Address","Endereço"
"Street Address Line 2","Complemento"
"Table Rates","Taxas de tabela"
"The shipping module is not available for selected delivery country.","O módulo de envio não está disponível para o país de entrega selecionado."
"The shipping module is not available.","O módulo de envio não está disponível."
"There is no tracking available for this shipment.","Não há nenhum rastreamento disponível para esta expedição."
"There is no tracking available.","Não há nenhum rastreamento disponível."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio não está disponível no momento. Se você gostaria de usar este método de envio, por favor, entre em contato conosco."
"This shipping method is not available, please specify ZIP-code","Este método de envio não está disponível, por favor especifique o CEP."
"Title","Título"
"Track:","Rastrear:"
"Tracking Information","Informações de rastreamento"
"Tracking Number:","Número de rastreamento:"
"Tracking information is currently not available. Please ","Informações de rastreamento atualmente não está disponível. Por favor "
"Tracking information is currently unavailable.","Informações de rastreamento indisponíveis."
"Type","Tipo"
"Use origin weight (few requests)","Use o peso de origem (alguns pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso vs destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","fale conosco"
"email us at ","envie e-mail para "
