"%s Item(s)","%s Item(ns)"
"%s-%s of %s","%s-%s de %s"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Clique em qualquer parte do horário para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha pressionado o botão do mouse sobre os botões acima para selecionar mais rápido."
"- Use the %s buttons to select month","- Use o botão %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou shift-clique para diminuí-lo"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rápido"
"-- Please Select --","-- Por favor selecione --"
"1 column","1 coluna"
"2 columns with left bar","2 colunas com barra à esquerda"
"2 columns with right bar","2 colunas com barra à direita"
"3 columns","3 colunas"
"About the calendar","Sobre o calendário"
"Account","Conta"
"All Empty Layout Pages","Todas Páginas de Layout Vazias"
"All One-Column Layout Pages","Todas as Páginas de Layout de Uma Coluna"
"All Pages","Todas as Páginas"
"All Pages (Print Version)","Todas as Páginas (Versão para Impressão)"
"All Three-Column Layout Pages","Todas as Páginas de Layout de Três Colunas"
"All Two-Column Layout Pages (Left Column)","Todas as Páginas de Layout de Duas Colunas (Coluna Esquerda)"
"All Two-Column Layout Pages (Right Column)","Todas as Páginas de Layout de Duas Colunas (Coluna Direita)"
"Allow","Permitir"
"Breadcrumbs","Migalhas de Pão"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se nada tiver acontecido"
"Close","Fechar"
"Close Window","Fechar Janela"
"DHTML Date/Time Selector","Seletor DHTML de data/hora"
"Date selection:","Selecionar data:"
"Default Description","Descrição padrão"
"Default welcome msg!","Mensagem padrão de boas-vindas!"
"Display %s first","Mostrar %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sobre GNU LGPL. Ver %s para detalhes."
"Drag to move","Arraste para mover"
"Empty","Vazio"
"For latest version visit: %s","Para última versão visite: %s"
"Free Shipping on orders over 50$","Frete Grátis em pedidos acima de 50$"
"Go Today","Hoje"
"Help Us to Keep Maho Healthy","Ajude-nos a Manter o Maho Saudável"
"Interface Language","Idioma de interface"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desabilitado no seu navegador."
"Left Column","Coluna Esquerda"
"Left Column First (shows above main column on smaller screens)","Coluna Esquerda Primeiro (aparece acima da coluna principal em telas menores)"
"Main Content Area","Área de Conteúdo Principal"
"Menu","Menu"
"Navigation Bar","Barra de Navegação"
"Next","Próximo"
"Next month (hold for menu)","Próximo mês (mantenha para menu)"
"Next year (hold for menu)","Próximo ano (mantenha para menu)"
"Page Bottom","Rodapé da Página"
"Page Footer","Rodapé da Página"
"Page Header","Cabeçalho da Página"
"Page Top","Topo da Página"
"Page:","Página:"
"Prev. month (hold for menu)","Mês anterior (mantenha para menu)"
"Prev. year (hold for menu)","Ano anterior (mantenha para menu)"
"Previous","Anterior"
"Redirecting...","Redirecionando..."
"Report All Bugs","Reportar todos os Bugs"
"Results per page","Resultados por página"
"Right Column","Coluna Direita"
"Search","Buscar"
"Select Store","Selecionar loja"
"Select Store:","Selecione Loja:"
"Select date","Selecionar data"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é a Loja de Demonstração. Quaisquer pedidos feitos nesta loja não serão honrados ou realizados."
"Time selection:","Selecionar hora:"
"Time:","Hora:"
"View All","Ver tudo"
"Welcome, %s!","Bem-vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você deve ter JavaScript habilitado no seu navegador para utilizar a funcionalidade deste site."
"Your Language","Seu idioma"
"Your Language:","Seu idioma:"
"per page","por página"
