"Access denied.","Adgang nægtet."
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","Anti-skrabning gas til /api/rest/v2/auth/token. Standard 20 pr. minut. 0 for at deaktivere."
"API","API"
"Api Key confirmation must be same as Api Key.","Bekræftelse af API-nøgle skal være den samme som API-nøgle."
"Api Key must be at least of %d characters.","API-nøgle skal mindst være af %d tegn."
"Api Key must include both numeric and alphabetic characters.","API-nøgle skal indeholde både numeriske og alfabetiske tegn."
"A user with the same user name or email already exists.","Der findes allerede en bruger med samme brugernavn eller e-mail."
"Auth-token endpoint (per IP)","Auth-token endpoint (per IP)"
"Can not find webservice adapter.","Kan ikke finde webservice adapter."
"Client Session Timeout (sec.)","Klient Sessionstimeout (sek.)"
"Customer login","Kunde login"
"Default Response Charset","Standard Respons Charset"
"Email","E-mail"
"Enable WSDL Cache","Aktiver WSDL Cache"
"First Name is required field.","Fornavn er obligatorisk felt."
"General Settings","Generelle Indstillinger"
"Invalid webservice adapter specified.","Ugyldig webservice adapter angivet."
"Invalid webservice handler specified.","Ugyldig webservice handler angivet."
"Last Name is required field.","Efternavn er obligatorisk felt."
"Maho Core API","Maho Core API"
"Orphaned API Resources","Forældreløse API-ressourcer"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Pr. legitimationsoplysninger. Dækker /auth/token (kunde + api_user grants) og GraphQL customerLogin mutation. Standard 5 pr. minut. 0 for at deaktivere."
"Please enter a valid email.","Angiv venligst en gyldig e-mail."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roller"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Brugere"
"Unable to login.","Kan ikke logge ind."
"User Name","Bruger Navn"
"User Name is required field.","Brugernavn er obligatorisk felt."
"WS-I Compliance","WS-I Overholdelse"
"Your account has been deactivated.","Din konto er blevet deaktiveret."
