"-- Top Level --","-- Ylätaso --"
"-- Use System Default --","-- Käytä Järjestelmän Oletusta --"
"A category with URL key ""%s"" already exists under the same parent.","Kategoria URL-avaimella ""%s"" on jo olemassa saman vanhemman alla."
"Add Category","Lisää Kategoria"
"Add Post","Lisää Viesti"
"Blog","Blogi"
"Blog Categories","Blogi Kategoriat"
"Blog Category","Blogin Kategoria"
"Blog Post","Blogi Viesti"
"Blog Post API","Blogi-Viestin API"
"Blog Posts","Blogi Viestit"
"Categories","Kategoriat"
"Category Information","Kategorian Tiedot"
"Category Posts","Kategoria Viestit"
"Category URL Prefix","Kategorian URL-etuliite"
"Category was successfully deleted","Kategoria poistettiin onnistuneesti"
"Category was successfully saved","Kategoria tallennettu onnistuneesti"
"Create blog post","Luo blogi"
"Create new post","Luo uusi viesti"
"Delete Category","Poista Kategoria"
"Delete Post","Poista Viesti"
"Delete post","Poista viesti"
"Edit Category","Muokkaa Kategoriaa"
"Edit Category '%s'","Muokkaa Kategoria '%s'"
"Edit Post","Muokkaa Viestiä"
"Edit Post '%s'","Muokkaa Viestiä%s'"
"Enable Blog Search in Autosuggest","Ota blogihaku käyttöön automaattisesti"
"Enable Categories","Ota Kategoriat Käyttöön"
"General","Yleiset"
"General Information","Yleiset Tiedot"
"Get post info","Hae julkaisun tiedot"
"Get post list","Hae postituslista"
"Include Images","Sisällytä Kuvat"
"Level","Taso"
"Maximum Blog Posts in Autosuggest","Blogiviestien maksimi automaattisissa ehdotuksissa"
"Meta Information","Metatiedot"
"Meta Title","Meta Otsikko"
"New Category","Uusi Kategoria"
"New Post","Uusi Viesti"
"Parent Category","Ylätason Kategoria"
"Please select category(s)","Valitse kategoria"
"Please select post(s)","Valitse viesti(t)"
"Position","Sijainti"
"Post Categories","Julkaise Kategoriat"
"Post Content","Lähetä Sisältö"
"Post Information","Julkaisun Tiedot"
"Posts","Julkaisut"
"Posts per Page","Artikkeleita per sivu"
"Post was successfully deleted","Viesti poistettiin onnistuneesti"
"Post was successfully saved","Viesti tallennettu onnistuneesti"
"Publishing Date","Julkaisupäivä"
"Remove blog post","Poista blogi"
"Retrieve blog post info","Hae blogisivun tiedot"
"Retrieve blog posts","Hae blogikirjoituksia"
"Save Category","Tallenna Kategoria"
"Save Post","Tallenna Viesti"
"Show in Navigation","Näytä navigoinnissa"
"There are no blog posts in this category.","Tässä kategoriassa ei ole blogikirjoja."
"There are no blog posts to display.","Ei ole blogikirjoituksia näytettäväksi."
"This category no longer exists.","Tuoteryhmää ei ole enää olemassa."
"This post no longer exists.","Tätä viestiä ei ole enää olemassa."
"Total of %d category(s) were deleted","Yhteensä %d kategoriaa (kategorioita) poistettiin"
"Total of %d post(s) were deleted","Yhteensä %d viestiä poistettiin"
"Update blog post","Päivitä blogi"
"Update post","Päivitä viesti"
"URL Prefix","Url-Etuliite"
