"%s Index process is working now. Please try run this process later.","El proceso del índice %s está funcionando. Por favor, intenta ejecutar este proceso más tarde."
"%s index was rebuilt.","El índice %s fue reconstruido."
"'%s' Index Process Information","'%s' Información del Proceso de Índice"
"Action","Accin"
"Cannot initialize the indexer process.","No se puede inicializar el proceso del indexador."
"Change Index Mode","Cambiar modo de índice"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Haz clic aquí para ir a <a href=""%s"">Administración de Cache</a> y actualizar los tipos de caché."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Haga clic aquí para ir a <a href=""%s"">Gestión de Índice</a> y reconstruir los índices requeridos."
"Delete","Eliminar"
"Description","Descripción"
"Disable","Desactivar"
"Enable","Activar"
"General","General"
"Index","Índice"
"Index Description","Descripción del índice"
"Index Management","Gestión de índices"
"Index Mode","Modo índice"
"Index Name","Nombre del índice"
"Index mode","Modo índice"
"Indexer code is not defined.","El código del indexador no está definido."
"Indexer model is not defined.","Modelo del indexador no está definido."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","El modelo de indexador debe extender Mage_Index_Model_Indexer_Abstract."
"Manual Update","Actualización manual"
"Mode","Modo"
"Never","Nunca"
"No","Nu"
"One or more of the Indexes are not up to date:","Uno o más de los índices no están actualizados:"
"Please select Index(es)","Por favor seleccione índice(s)"
"Please select Indexes","Por favor, seleccione índices"
"Process Information","Información del proceso"
"Processing","Procesando"
"Ready","Listo"
"Refresh","Refrescar"
"Reindex Data","Reindexar datos"
"Reindex Required","Reindexar requerido"
"Revoke","Revoke"
"Status","Estado"
"System","Sistema"
"The index has been saved.","El índice ha sido guardado."
"There was a problem with reindexing process.","Hubo un problema con el proceso de reindexación."
"There was a problem with saving process.","Hubo un problema con el proceso de guardado."
"Total of %d index(es) have changed index mode.","Total de índice(s) %d han cambiado el modo índice."
"Total of %d index(es) have reindexed data.","Total de índices %d tienen datos reindexados."
"Update Required","Actualización requerida"
"Update on Save","Actualizar al guardar"
"Updated At","Actualizado el"
"Yes","Sí"
