"-- Top Level --","-- Nivel superior --"
"-- Use System Default --","-- Usar el sistema predeterminado --"
"A category with URL key ""%s"" already exists under the same parent.","Una categoría con la clave de URL ""%s"" ya existe bajo el mismo padre."
"Add Category","Añadir categoría"
"Add Post","Añadir Post"
"Blog","Blog"
"Blog Categories","Categorías de blog"
"Blog Category","Categoría del blog"
"Blog Post","Entrada"
"Blog Post API","Blog Post API"
"Blog Posts","Mensajes del Blog"
"Categories","Categorías"
"Category Information","Información de la categoría"
"Category Posts","Categoría de entradas"
"Category URL Prefix","Prefijo de URL de categoría"
"Category was successfully deleted","Categoría eliminada correctamente"
"Category was successfully saved","Categoría guardada correctamente"
"Create blog post","Crear entrada en el blog"
"Create new post","Crear nuevo post"
"Delete Category","Eliminar Categoría"
"Delete Post","Eliminar mensaje"
"Delete post","Eliminar mensaje"
"Edit Category","Editar Categoría"
"Edit Category '%s'","Editar Categoría '%s'"
"Edit Post","Editar Post"
"Edit Post '%s'","Editar post '%s'"
"Enable Blog Search in Autosuggest","Habilitar búsqueda de blog en Autougia?"
"Enable Categories","Habilitar Categorías"
"General","General"
"General Information","Información General"
"Get post info","Obtener información del post"
"Get post list","Obtener lista de posts"
"Include Images","Incluye imágenes"
"Level","Nivel"
"Maximum Blog Posts in Autosuggest","Máximo de entradas de blog en Autouga?"
"Meta Information","Meta información"
"Meta Title","Meta Título"
"New Category","Nueva Categoría"
"New Post","Nuevo post"
"Parent Category","Categoría padre"
"Please select category(s)","Por favor, seleccione categoría(s)"
"Please select post(s)","Por favor, seleccione mensaje(s)"
"Position","Posición"
"Post Categories","Categorías de mensajes"
"Post Content","Publicar contenido"
"Post Information","Información del post"
"Posts","Mensajes"
"Posts per Page","Mensajes por página"
"Post was successfully deleted","El mensaje se ha eliminado correctamente"
"Post was successfully saved","El mensaje se ha guardado correctamente"
"Publishing Date","Fecha de publicación"
"Remove blog post","Eliminar entrada del blog"
"Retrieve blog post info","Recuperar información del blog"
"Retrieve blog posts","Recuperar entradas del blog"
"Save Category","Guardar categoría"
"Save Post","Guardar Post"
"Show in Navigation","Mostrar en Navegación"
"There are no blog posts in this category.","No hay entradas en esta categoría."
"There are no blog posts to display.","No hay entradas de blog para mostrar."
"This category no longer exists.","Esta categoría ya no existe."
"This post no longer exists.","Esta publicación ya no existe."
"Total of %d category(s) were deleted","Se eliminaron un total de %d categoría(s)"
"Total of %d post(s) were deleted","Se eliminaron un total de %d mensaje(s)"
"Update blog post","Actualizar entrada del blog"
"Update post","Actualizar post"
"URL Prefix","Prefijo de URL"
