"%s's Wishlist","La lista de deseos de %s"
"%s - Discounts and Coupons","%s - Descuentos y Cupones"
"%s - Special Products","%s - Productos Especiales"
"%s has reached a quantity of %s.","%s ha alcanzado una cantidad de %s."
"%s RSS Feed","%s Fuente de RSS"
"Admin Catalog","Administrador Catálogo"
"Admin Order","Pedido de Administrador"
"Cannot retrieve the wishlist","No se puede recuperar la lista de deseos"
"Catalog","Catálogo"
"Category Feeds","Alimentación de Categorías"
"click <a href=""%s"">here</a> to view the review","haz clic <a href=""%s"">aquí</a> para ver la reseña"
"Click for price","Haz clic para ver precio"
"Comment: %s<br/>","Comentario: %s<br/>"
"Coupons/Discounts","Cupones/descuentos"
"Current Status: %s<br/>","Estado actual: %s<br/>"
"Customer Name: %s","Nombre del cliente: %s"
"Customer Order Notification","Notificación de Pedido del Cliente"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Details for %s #%s","Detalles para %s #%s"
"Discount","Descuento"
"Discount (%s)","Descuento (%s)"
"Enable RSS","Activar RSS"
"Enabling can increase security risk by exposing some order details.","Habilitar puede aumentar el riesgo de seguridad al exponer algunos detalles del pedido."
"Error in processing xml. %s","Error al procesar xml. %s"
"From:","Desde:"
"Get Feed","Obtener fuente"
"Gift Message","Mensaje regalo"
"Grand Total","Total general"
"Low Stock Products","Artículos con baja cantidad en inventario"
"Message:","Mensaje:"
"Miscellaneous Feeds","Fuentes varias"
"New Order Notification","Notificación de Nuevo Pedido"
"New Order Period (days)","New Order Period (days)"
"New Orders","Nuevos pedidos"
"New Products","Nuevos artículos"
"New Products from %s","Nuevos Productos de %s"
"Notified Date: %s<br/>","Fecha de notificación: %s<br/>"
"Order","Pedido"
"Order #%s created at %s","Pedido #%s creado en %s"
"Order # %s Notification(s)","Notificación del pedido #%s"
"Pending product review(s)","Reseñas pendientes para el artículo"
"Product: ""%s"" review By: %s","Producto: ""%s"" reseña De: %s"
"Product: <a href=""%s"">%s</a> <br/>","Producto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Productos etiquetados con %s"
"Purchased From: %s","Comprado desde: %s"
"Review: %s <br/>","Revisión: %s <br/>"
"Review Notification","Notificación de Revisión"
"Rss Config","Configuración de RSS"
"RSS Feeds","Fuentes RSS"
"RSS Feeds List","Lista de Fuentes RSS"
"Shipping &amp; Handling","Gastos de envío"
"Special Products","Artículos especiales"
"Stock Notification","Notificación de Stock"
"Store: %s <br/>","Tienda: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Resumen de la reseña: %s <br/>"
"Tags Products","Etiquetas de productos"
"Tax","Impuestos"
"There are no Rss Feeds","No hay fuentes RSS"
"To:","A:"
"Top Level Category","Categoría de nivel superior"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Lista de deseos"
