"Account Number","Número de cuenta"
"Container ID","ID del Contenedor"
"Enable","Activar"
"Enable GA4 Debug Real Time view for Development IP.","Habilitar la vista GA4 Debug en tiempo real para el IP de desarrollo."
"Enable GA4 User_id tracking for logged in customers.","Habilitar el seguimiento de GA4 User_id para clientes conectados."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Gestor de Google Tag"
"Meta Pixel ID","Meta Pixel ID"
"Type","Tipo"
"User ID tracking","Rastreo de ID de usuario"
