"* Required Fields","* Campos requeridos"
"-- No API Access --","-- Sin acceso a la API --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acceso a tu cuenta"
"Admin","Admin"
"Admin API Access","Admin API Access"
"After authorization application will have access to you account.","Después de la solicitud de autorización tendrá acceso a su cuenta."
"An error occurred.","Se ha producido un error."
"An error occurred. Your authorization request is invalid.","Se ha producido un error. Su solicitud de autorización no es válida."
"An error occurred on confirm authorize.","Se ha producido un error al confirmar la autorización."
"An error occurred on delete action.","Se ha producido un error al eliminar la acción."
"An error occurred on reject authorize.","Se ha producido un error al rechazar la autorización."
"An error occurred on saving consumer data.","Se ha producido un error al guardar los datos del consumidor."
"An error occurred on update revoke status.","Se ha producido un error al actualizar el estado de revocación."
"An error occurred while deleting the consumer.","Se ha producido un error al eliminar el consumidor."
"API Role","Rol API"
"Application Name","Nombre de la aplicación"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Asignar un rol de API para conceder permisos. Administrar roles en Sistema > API > Roles."
"Authorization confirmed","Autorización confirmada"
"Authorization confirmed.","Autorización confirmada."
"Authorize","Autorizar"
"Authorize application","Autorizar aplicación"
"Authorized Tokens","Tokens autorizados"
"Callback URL","Callback URL"
"Cleanup Probability","Probabilidad de limpieza"
"Cleanup Settings","Ajustes de limpieza"
"Close","Cerrar"
"Confirmation Of Authorization","Confirmación de autorización"
"Confirm token authorization for admin","Confirmar autorización de token para el administrador"
"Confirm token authorization Pop Up for admin","Confirmar token Pop Up para el administrador"
"Consumer Information","Información del consumidor"
"Consumer Name","Nombre del Consumidor"
"Consumers","Consumidores"
"Created At","Creado el"
"Current Admin Password","Contraseña actual del administrador"
"Customer","Cliente"
"Delete","Eliminar"
"deleted","borrado"
"Disable","Desactivar"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Consumer","Editar Consumidor"
"Email","E-mail"
"Email Address","Dirección de email"
"Enable","Activar"
"Enabled","Activado"
"enabled","activado"
"Entry with ID #%s not found.","No se ha encontrado la entrada con ID #%s."
"Expiration Period","Periodo de caducidad"
"Expires","Caduca"
"Expires At","Caduca el"
"Give the verifier code to application administrator","Dar el código de verificación al administrador de la aplicación"
"ID","ID"
"Invalid ID parameter.","Parámetro de ID inválido."
"Key","Clave"
"Last Used","Último uso"
"Leave empty for no expiration","Dejar vacío para no expirar"
"Log In","Iniciar sesión"
"Login","Ingresar"
"Log in as admin","Iniciar sesión como administrador"
"Log in to use <strong>%s</strong>","Inicia sesión para usar <strong>%s</strong>"
"My Applications","Mis Aplicaciones"
"My Apps","Mis Aplicaciones"
"Name","Nombre"
"New Consumer","Nuevo consumidor"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Mis Aplicaciones"
"OAuth authorization for admin","Autorización OAuth para el administrador"
"OAuth authorization simple for admin","Autorización OAuth simple para el administrador"
"OAuth Authorized Tokens","Tokens autorizados de OAuth"
"OAuth Consumers","Consumidores de OAuth"
"Password","Contraseña"
"Permissions","Permisos"
"Please login to proceed authorization.","Por favor, inicie sesión para proceder a la autorización."
"Please select needed row(s).","Por favor, seleccione fila(s) necesaria(s)."
"Please select revoke status.","Por favor, seleccione el estado de revocación."
"Protocol","Protocol"
"Reject","Rechazar"
"Rejected Callback URL","URL de devolución de llamada rechazada"
"Rejection Of Authorization","Rechazo de autorización"
"Reject token authorization for admin","Rechazar autorización de token para admin"
"Reject token authorization Pop Up for admin","Rechazar token de autorización Pop Up para el administrador"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Nombre del Rol"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar editando"
"Secret","Secreto"
"Selected entries enabled.","Entradas seleccionadas habilitadas."
"Selected entries has been deleted.","Las entradas seleccionadas han sido eliminadas."
"Selected entries revoked.","Entradas seleccionadas revocadas."
"Select stores this consumer can access. Leave empty for all stores.","Seleccione las tiendas que este consumidor puede acceder. Dejar vacío para todas las tiendas."
"Status","Estado"
"Store Access","Acceso a la tienda"
"System","Sistema"
"The application access request is rejected.","La solicitud de acceso a la aplicación ha sido rechazada."
"The consumer has been deleted.","El consumidor ha sido eliminado."
"The consumer has been saved.","Se ha ahorrado al consumidor."
"Token Status Change","Cambio de estado del token"
"Token Status Change Email Template","Plantilla de correo electrónico para cambiar estado de Token"
"Unable to find a consumer.","No se puede encontrar un consumidor."
"User ID","ID Usuario"
"User Name","Usuario"
"User Type","Tipo de usuario"
"Verifier code: %s","Código del verificador: %s"
