"%d country(s) were skipped because they no longer exist.","%d country(s) were skipped because they no longer exist."
"%d region(s) were skipped because they have existing region names.","Se omitieron %d región(es) porque tienen nombres de región existentes."
"-- Please select --","-- Por favor, seleccione --"
"A country with this ID already exists.","Ya existe un país con este ID."
"Add New Country","Añadir nuevo país"
"Add New Region","Añadir nueva región"
"Add Translation","Añadir traducción"
"Allowed Currencies","Monedas permitidas"
"An invalid base currency has been entered.","Se ha introducido una moneda base no válida."
"API Access Key","Clave de acceso API"
"API Key","Clave API"
"A region name for this locale and region combination already exists.","Ya existe un nombre de región para esta combinación de región y región."
"A region with code ""%s"" already exists in this country.","Ya existe una región con código ""%s"" en este país."
"Are you sure you want to delete the selected countries?","¿Está seguro que desea eliminar los países seleccionados?"
"Are you sure you want to delete the selected region names?","¿Está seguro que desea eliminar los nombres de la región seleccionada?"
"Are you sure you want to delete the selected regions?","¿Está seguro que desea eliminar las regiones seleccionadas?"
"Are you sure you want to delete this country?","¿Está seguro que desea eliminar este país?"
"Are you sure you want to delete this region?","¿Está seguro que desea eliminar esta región?"
"Base Currency","Moneda base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","La moneda base se utiliza para todas las transacciones de pago en línea. El alcance se define por el alcance del precio del catálogo (""Catálogo"" > ""Precio"" > ""Alcance del precio del catálogo"")."
"Cannot delete region with existing region names. Please delete all region names first.","No se puede eliminar la región con nombres de región existentes. Por favor, elimine todos los nombres de las regiones primero."
"Close","Cerrar"
"Connection Timeout in Seconds","Tiempo de espera de conexión en segundos"
"Continue &raquo;","Continuar &raquo;"
"Countries","Países"
"Country","País"
"Country and Format Type combination should be unique","Combinación de tipo de país y formato debe ser única"
"Country API","API del país"
"Country ID","ID de país"
"Country ID cannot be changed after creation","El ID del país no se puede cambiar después de la creación"
"Country ID is required.","Se requiere ID de país."
"Country ID must be exactly 2 uppercase letters.","ID del país debe ser exactamente 2 letras mayúsculas."
"Country Information","Información del país"
"Country is required.","El país es obligatorio."
"Country Name","Nombre del país"
"Currency","Moneda"
"CurrencyConverterAPI","CurrencyConverterAPI"
"Currency Options","Opciones de moneda"
"Currency rates can't be retrieved.","Las tasas de cambio no se pueden recuperar."
"Currency rate service error: %s","Error de servicio de tasa de divisa: %s"
"Currency Setup","Configuración de moneda"
"Currency Update Warnings","Advertencias de actualización de moneda"
"Default: only add new locales","Por defecto: sólo añadir nuevos locales"
