"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Se han desactivado las reglas del precio del catálogo %d basadas en el atributo ""%s."
"Actions","Acciones"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"An error occurred while deleting the rule. Please review the log and try again.","Se ha producido un error al eliminar la regla. Por favor, revise el registro y vuelva a intentarlo."
"An error occurred while saving the rule data. Please review the log and try again.","Se ha producido un error al guardar los datos de la regla. Por favor, revise el registro y vuelva a intentarlo."
"Apply","Aplicar"
"Apply Rules","Aplicar Reglas"
"Attribute Set","Conjunto de atributos"
"By Fixed Amount","Por importe fijo"
"By Percentage of the Original Price","Por porcentaje del precio original"
"Catalog","Catálogo"
"Catalog Price Rule","Regla de precio de catálogo"
"Catalog Price Rules","Reglas de precio de catálogo"
"Category","Categoría"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (dejar en blanco para todos los productos)"
"Conditions Combination","Combinación de condiciones"
"Customer Groups","Grupos de clientes"
"Date Expire","Fecha de caducidad"
"Date From","Fecha de"
"Date Start","Fecha Inicio"
"Date To","Fecha hasta"
"Description","Descripción"
"Discount Amount","Importe del descuento"
"Edit Rule","Editar regla"
"Edit Rule '%s'","Editar regla '%s'"
"Enable Discount to Subproducts","Habilitar descuento para subproductos"
"Expiration Date","Fecha de caducidad"
"From Date","Desde fecha"
"General Information","Información General"
"ID","ID"
"Inactive","Inactivo"
"New Rule","Nueva regla"
"No","Nu"
"Options","Opciones"
"Priority","Prioridad"
"Product Attribute","Atributo del producto"
"Promotions","Promociones"
"Rule Information","Información de la regla"
"Rule Name","Nombre de regla"
"Save and Apply","Guardar y Aplicar"
"Save and Continue Edit","Guardar y continuar editando"
"Start Date","Fecha de inicio"
"Status","Estado"
"Stop Further Rules Processing","Detener el procesamiento de más reglas"
"The rule has been deleted.","La regla ha sido eliminada."
"The rule has been saved.","La regla ha sido guardada."
"The rules have been applied.","Se han aplicado las normas."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Hay reglas que se han cambiado pero que no se han aplicado. Sólo los usuarios con acceso exclusivo pueden aplicar reglas."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Hay reglas que se han modificado pero que no se han aplicado. Por favor, haga clic en Aplicar Reglas para ver el efecto inmediato en el catálogo."
"This rule no longer exists.","Esta regla ya no existe."
"To Date","Hasta la fecha"
"To Fixed Amount","A la cantidad fija"
"To Percentage of the Original Price","Al porcentaje del precio original"
"Type","Tipo"
"Unable to apply rules.","No se pueden aplicar las reglas."
"Unable to find a rule to delete.","No se puede encontrar una regla a eliminar."
"Update Prices Using the Following Information","Actualizar precios utilizando la siguiente información"
"Update product's %s %s: %s","Actualizar el %s %sdel producto: %s"
"Website","Sitio web"
"Websites","Sitios web"
"Wrong rule specified","Regla incorrecta especificada"
"Wrong rule specified.","Regla incorrecta especificada."
"Yes","Sí"
