"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Actions XML is not valid.","Las acciones XML no son válidas."
"An error occurred while opening file: ""%s"".","Se ha producido un error al abrir el archivo: ""%s""."
"Backend name ""Static"" not supported.","El nombre del backend ""Static"" no es compatible."
"Backend name Static"" not supported.""","Nombre de backend Static"" no soportado."""
"Could not load file: ""%s"".","No se pudo cargar el archivo: ""%s""."
"Could not save file: %s.","No se pudo guardar el archivo: %s."
"Declared adapter %s was not found.","Adaptador declarado %s no fue encontrado."
"Destination folder ""%s"" is not a directory.","La carpeta de destino ""%s"" no es un directorio."
"Destination folder ""%s"" is not writable.","La carpeta de destino ""%s"" no tiene permisos de escritura."
"Done","Hecho"
"Dry run set, stopping execution.","Ejecución seca, deteniendo la ejecución."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Error en el mapeo de campos: lista de campos para el mapeo no está definida."
"File ""%s"" does not exist.","El archivo ""%s"" no existe."
"Found %d rows.","Encontradas filas %d"
"Invalid node.","Nodo inválido."
"Less than a minute","Menos de un minuto"
"Loaded successfully: ""%s"".","Cargado correctamente: ""%s""."
"Memory Used: %s","Memoria utilizada: %s"
"Method ""%s"" not defined in adapter %s.","Método ""%s"" no definido en el adaptador %s."
"Method ""%s"" was not defined in adapter %s.","El método ""%s"" no se definió en el adaptador %s."
"Please declare ""adapter"" and ""method"" nodes first.","Por favor, primero declare los nodos ""adaptador"" y ""método""."
"Processed records: %s","Registros procesados: %s"
"Profile with the same name already exists.","Ya existe un perfil con el mismo nombre."
"Saved successfully: ""%s"" [%d byte(s)].","Guardado correctamente: ""%s"" [%d byte(s)]."
"Sheet 1","Hoja 1"
"Skip undefined row.","Saltar fila indefinida."
"Starting %s :: %s","Iniciando %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","La carpeta de destino ""%s"" no existe o no hay acceso para crearla."
"Total records: %s","Total de registros: %s"
"Upload failed. Can not find required columns: %s in file %s.","Subida fallida. No se pueden encontrar las columnas requeridas: %s en el archivo %s."
"Upload failed. Wrong data format in file: %s.","Subida fallida. Formato incorrecto de datos en el archivo: %s."
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
