"-- Please Select --","-- Por favor seleccione --"
"Add to Cart","Añadir al carrito"
"Choose an Option...","Elija una opción..."
"Configurable Swatches","Relojes configurables"
"Dynamic Price Change for Swatches in Product Listing","Cambio dinámico del precio de Swatches en la lista de productos"
"Enabled","Activado"
"General Settings","Configuración General"
"Height","Altura"
"In Stock","En stock"
"Innermost dimensions, not including border, in pixels","Dimensiones interiores, sin borde, en píxeles"
"Out of Stock","Fuera de stock"
"Previous","Anterior"
"Product Attribute to Use for Swatches in Product Listing","Atributo de producto a usar para Swatches en la lista de productos"
"Product Attributes to Show as Swatches in Product Detail","Atributos de producto a mostrar como Swatches en detalles del producto"
"Remove This Item","Eliminar este elemento"
"Swatch Dimensions in Layered Navigation","Dimensiones de la vista en la navegación por capas"
"Swatch Dimensions in Product Listing","Dimensiones de la vista en la lista de productos"
"Swatch Dimensions on Product Detail Page","Dimensiones de visualización en la página de detalles del producto"
"Width","Width"
"Swatch","Reloj"
"Are you sure to delete this fallback color?","¿Está seguro que desea eliminar este color de retroceso?"
