"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) – tutti i tempi sono in minuti"
"Daily","Giornalmente"
"Failure History Lifetime","Durata Cronologia falliti"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Per una corretta generazione degli URL durante l'esecuzione cron assicurati che questo Web > Secure and Unsecure Base URLs siano impostate in modo esplicito."
"Generate Schedules Every","Genera pianificazioni ogni"
"History Cleanup Every","Pulizia cronologia ogni"
"Hourly","Oraria"
"Invalid callback: %s::%s does not exist","Richiamo non valido: %s::%s non esiste"
"Invalid model/method definition, expecting ""model/class::method"".","Definizione modello/metodo non valido, attendi ""modello/classe::metodo""."
"Missed if Not Run Within","Mancato se non eseguito entro"
"Monthly","Mensilmente"
"No callbacks found","Nessun richiamo trovato"
"Schedule Ahead for","Pianificazione anticipata per"
"Success History Lifetime","Durata Cronologia conferma"
"Too late for the schedule.","Troppo tardi per la pianificazione."
"Unable to save the cron expression.","Impossibile salvare l'espressione cron."
"Weekly","Settimanalmente"
