"--Please Select--","--Seleziona--"
"Accepted Currency","Valuta accettata"
"API Login ID","Id Login API"
"Card Verification Number","Numero di verifica della carta"
"Card Verification Number Visual Reference","Scheda Verifica numero riferimento visivo"
"Close","Chiudi"
"Credit Card Number","Numero carta di credito"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Types","Tipi di carta di credito"
"Credit Card Verification","Verifica della carta di credito"
"Debug","Debugga"
"Email Customer","Email cliente"
"Enabled","Abilitato"
"Expiration Date","Data di scadenza"
"Gateway URL","URL gateway"
"Maximum Order Total","Totale ordine massimo"
"Merchant's Email","Email del venditore"
"Minimum Order Total","Totale ordine minimo"
"New Order Status","Nuovo stato dell'ordine"
"Order saving error: %s","Errore salvataggio ordine: %s"
"Payment Action","Azione di pagamento"
"Payment authorization error.","Errore Autorizzazione Pagamento"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Sort Order","Ordinamento"
"Test Mode","Modalità test"
"The order has been created.","L'ordine è stato creato."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l'elaborazione del tuo ordine. Contattaci o prova di nuovo più tardi."
"Title","Titolo"
"Transaction Key","Chiave Transazione"
"What is this?","Cos'è questo?"
