"%1$s incl tax.","%1$s incl tasse."
"* Required Fields","* Campi obbligatori"
"-- Select --","-- Seleziona --"
"Add New Option","Aggiungi nuova opzione"
"Add Selection","Aggiungi selezione"
"and","e"
"Bundle Items","Elementi del Bundle"
"Bundle Product","Prodotti Bundle"
"Buy %1$s","Acquista %1$s"
"Buy %1$s for","Acquista %1$s per"
"Buy %1$s for %2$s","Acquista %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Acquista %1$s per %2$s (%3$s incl. tasse) ciascuno"
"Buy %1$s for %2$s each","Acquista %1$s per %2$s ciascuno"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s di sconto per ciascuno"
"Catalog Product View (Bundle)","Visualizzazione Prodotto Catalogo (Bundle)"
"Checkbox","Casella di controllo"
"Choose a selection...","Scegliere una selezione..."
"Click for price","Clicca per il prezzo"
"Close","Chiudi"
"Default","Predefinito"
"Default Qty","Qtà predefinita"
"Default Title","Titolo predefinito"
"Drop-down","Dropdown"
"Dynamic","Dinamico"
"each","ognuno"
"Excl. Tax","Tasse escl."
"Excl. Tax:","Tasse escuse:"
"Fixed","Fisso"
"From","Dal"
"From:","Da:"
"Gift Message","Messaggio regalo"
"Incl. Tax","Tasse incl."
"Incl. Tax:"," Tasse incluse:"
"Input Type","Tipo di input"
"Is Required","È obbligatorio"
"Message:","Messaggio:"
"Multiple Select","Selezione multipla"
"N/A","N/D"
"None","Nessuno"
"No options of this product are available.","Nessuna opzione di questo prodotto è disponibile."
"Percent","Percentuale"
"Percent Discount","Percentuale sconto"
"Please enter a number greater 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter search conditions to view products.","Inserire le condizioni di ricerca per visualizzare i prodotti."
"Please select options for product.","Selezionare le opzioni per il prodotto."
"Please Select Products to Add","Seleziona i prodotti da aggiungere"
"Please specify product option(s).","Specificare le opzioni del prodotto."
"Position","Posizione"
"Price as configured","Prezzo come configurato"
"Price Range","Fascia di prezzo"
"Price Type","Tipo di prezzo"
"Qty:","Qtà:"
"Radio Buttons","Pulsanti di opzione"
"Required options are not selected.","Le opzioni richieste non sono selezionate."
"save","salva"
"Selected required options are not available.","Le opzioni richieste selezionate non sono disponibili."
"Separately","Separatamente"
"Ship Bundle Items","Spedizione prodotti Bundle"
"Shipment","Spedizione"
"SKU","Cod.Art."
"Store View Title","Titolo vista negozio"
"There is no defined renderer for ""%s"" option type.","Non è stato definito un renderer per il tipo di opzione ""%s""."
"This product is also part of bundle(s)","Questo prodotto è anche parte dei bundle(s)"
"To","Al"
"To:","A:"
"Together","Insieme"
"Total incl. Tax: %1$s","Totale incl. Tasse: %1$s"
"Use Default Value","Usa il valore predefinito"
"User Defined Qty","Qtà definita utente"
