"-- Please Select --","-- Seleziona --"
"0 = never expires. Can be overridden per product.","0 = mai scadere. Può essere sovrascritto per prodotto."
"Action","Azione"
"Active","Attivo"
"Add a message...","Aggiungi un messaggio..."
"Add New Gift Card","Aggiungi Nuova Gift Card"
"Admin Comment","Commento Amministratore"
"Allow Gift Message","Consenti Messaggio Regalo"
"Allow Message","Consenti Messaggio"
"All Websites","Tutti I Siti Web"
"Amount","Importo"
"Amount Range","Intervallo Quantità"
"An error occurred. Please try again.","Si è verificato un errore. Riprova."
"Applied Gift Cards:","Gift Card Applicati:"
"Apply","Applica"
"Apply Gift Card","Applica Gift Card"
"Applying...","Applicando..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo Dopo"
"Balance Before","Saldo Prima"
"Can be overridden per product.","Può essere sovrascritto per prodotto."
"Cannot apply gift card.","Impossibile applicare la carta regalo."
"Cannot remove gift card.","Impossibile rimuovere la carta regalo."
"Card Type","Tipo Di Carta"
"Check","Controlla"
"Check Balance","Controlla Saldo"
"Checking...","Controllo..."
"Code","Codice"
"Code Length","Lunghezza Codice"
"Code Prefix (e.g., GC)","Prefisso Codice (es. GC)"
"Comma-separated values (e.g., 25,50,100)","Valori separati da virgole (es. 25,50,100)"
"Created","Creato"
"Created %d gift card product(s): %s","Creato %d prodotti della carta regalo: %s"
"Created At","Creato Il"
"Create Gift Card Products","Crea Prodotti Gift Card"
"Current Balance","Saldo Corrente"
"Custom Amount","Importo Personalizzato"
"Date","Data"
"Default: %s","Predefinito: %s"
"Default Expiry (days)","Scadenza Predefinita (giorni)"
"Delete","Elimina"
"Delete Gift Card","Elimina Gift Card"
"Disabled","Disabilitato"
"Edit","Modifica"
"Edit Gift Card '%s'","Modifica Gift Card '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Modifica questa opzione per regolare manualmente il saldo. Usa ""Commento amministratore"" per spiegare la regolazione."
"Email Sender","Mittente Email"
"Email Settings","Impostazioni Email"
"Email Template","Modello Email"
"Enable Gift Cards","Abilita Carte Regalo"
"Enter gift card code","Inserisci il codice della carta regalo"
"Error generating gift card PDF: %s","Errore nel generare la carta regalo PDF: %s"
"Expired","Scaduto"
"Expires","Scade"
"Expires At","Scade Il"
"Fixed + Range","Fixed + Range"
"Fixed Amount(s)","Importo Fisso"
"Fixed Amounts","Importi Fissi"
"From","Da"
"From:","Da:"
"Gift Card","Gift Card"
"Gift card ""%s"" has been fully used.","La carta regalo ""%s"" è stata completamente utilizzata."
"Gift card ""%s"" has expired.","La carta regalo ""%s"" è scaduta."
"Gift card ""%s"" is already applied.","La carta regalo ""%s"" è già applicata."
"Gift card ""%s"" is not active.","La carta regalo ""%s"" non è attiva."
"Gift card ""%s"" is not valid.","La carta regalo ""%s"" non è valida."
"Gift card ""%s"" is not valid for this website.","La carta regalo ""%s"" non è valida per questo sito web."
"Gift card ""%s"" was applied.","La carta regalo ""%s"" è stata applicata."
"Gift card amount cannot be less than %s","L'importo della carta regalo non può essere inferiore a %s"
"Gift card amount cannot be more than %s","L'importo della carta regalo non può essere superiore a %s"
"Gift Card Code","Codice Gift Card"
"Gift Card History","Cronologia Gift Card"
"Gift Card Information","Informazioni Gift Card"
"Gift card not found.","Carta regalo non trovata."
"Gift Card Notification Email","Email Notifica Gift Card"
"Gift Card Options","Opzioni Gift Card"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","I prodotti Gift Card non possono essere aggiunti quando viene applicato un codice gift card. Si prega di rimuovere prima il codice gift card."
"Gift Cards","Carte Regalo"
"Gift cards cannot be used to purchase gift card products.","Le carte regalo non possono essere utilizzate per acquistare prodotti con carta regalo."
"Gift Cards Configuration","Configurazione Carte Regalo"
"Gift Card Transaction History","Cronologia Transazioni Gift Card"
"Gift card was removed.","La carta regalo è stata rimossa."
"Gift Certificates","Certificati Regalo"
"Inactive","Inattivo"
"Initial Balance","Saldo Iniziale"
"Invalid form key. Please refresh the page and try again.","Chiave modulo non valida. Si prega di aggiornare la pagina e riprovare."
"Invalid gift card code.","Codice gift card non valido."
"Invalid request.","Richiesta non valida."
"Leave blank for immediate delivery","Lascia vuoto per la consegna immediata"
"Leave empty to use system default. 0 = never expires.","Lasciare vuoto per usare il sistema predefinito. 0 = non scade mai."
"Lifetime (days)","Durata (giorni)"
"Lost cards not replaced","Carte perse non sostituite"
"Manage Gift Cards","Gestisci Carte Regalo"
"Maximum Amount","Importo Massimo"
"Message:","Messaggio:"
"Minimum Amount","Importo Minimo"
"New Gift Card","Nuova Gift Card"
"Not redeemable for cash","Non rimborsabile in contanti"
"Optional","Facoltativo"
"Order #","Ordine #"
"Order History","Cronologia Ordini"
"Other Amount","Altro Importo"
"Personal Message","Messaggio Personale"
"Please enter a gift card code.","Inserisci un codice della carta regalo."
"Please select a valid gift card amount","Si prega di selezionare un importo valido della carta regalo"
"Please select gift card(s).","Seleziona una o più carte regalo."
"Price varies","Il prezzo varia"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Email Destinatario"
"Recipient Name","Nome Del Destinatario"
"Refund Expiration Extension (days)","Estensione Scadenza Rimborso (giorni)"
"Refund to Gift Card","Rimborso alla carta regalo"
"Remove","Rimuovi"
"Save And Continue Edit","Salva E Continua A Modificare"
"Save Gift Card","Salva Gift Card"
"Schedule Delivery","Pianifica Consegna"
"Select Amount","Seleziona Importo"
"Send Email","Invia Email"
"Send gift card email to %s?","Inviare email gift card a %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Stato"
"The gift card has been deleted.","La carta regalo è stata eliminata."
"The gift card has been saved.","La carta regalo è stata salvata."
"This gift card no longer exists.","Questa carta regalo non esiste più."
"This is a required field.","Questo è un campo obbligatorio."
"To","A"
"Too many attempts. Please wait a moment and try again.","Troppi tentativi. Attendere un attimo e riprovare."
"Total: %s","Totale: %s"
"Unable to check balance.","Impossibile controllare il saldo."
"Unable to find a gift card to delete.","Impossibile trovare una carta regalo da eliminare."
"Unknown","Sconosciuto"
"Updated At","Aggiornato Il"
"Used","Usato"
"Use Default (%s)","Usa Predefinito (%s)"
"View","Visualizza"
"Website","Sito"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Quando il rimborso ad una carta regalo scaduta, estendere la scadenza di questi molti giorni. 0 = nessuna estensione (i soggiorni della carta sono scaduti ma l'equilibrio è ripristinato)."
"Your Email","La Tua Email"
"Your Name","Il Tuo Nome"
