"# of Uses","# di Usi"
"%s tag(s) have been accepted for moderation.","%s tag(s) sono stati accettati per la moderazione."
"<strong>Tag Name:</strong> %s","<strong>Nome Etichetta:</strong> %s"
"Action","Azione"
"Add","Aggiungi"
"Add New Tag","Aggiungi Nuovo Tag"
"Add Tags","Aggiungi Tag"
"Add Your Tags:","Aggiungi I Tuoi Tag:"
"Add tag(s) to product","Aggiungi tag al prodotto"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla lista dei desideri"
"All Tags","Tutte Le Etichette"
"Approved","Approvato"
"Are you sure you want to delete this tag?","Sei sicuro di voler eliminare questo tag?"
"Are you sure you want to do this?","Sei sicuro di voler fare questo?"
"Are you sure?","Sei sicuro?"
"Back","Indietro"
"Back to Tags List","Torna alla lista delle etichette"
"Base Popularity","Popolarità Base"
"Block Information","Informazioni Blocco"
"CSV","CSV"
"Catalog Product View","Visualizzazione Catalogo Prodotto"
"Change status","Cambia stato"
"Click on a tag to view your corresponding products.","Clicca su un tag per vedere i tuoi prodotti corrispondenti."
"Country","Paese"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Visualizzazione Tag Cliente Mio Account"
"Customer Since","Cliente Dal"
"Customers","Clienti"
"Customers Submitted this Tag","Clienti inviati questo Tag"
"Customers Tagged '%s'","I Clienti Etichettati '%s'"
"Delete","Elimina"
"Delete Tag","Elimina Tag"
"Disabled","Disabilitato"
"Edit Tag '%s'","Modifica Tag '%s'"
"Email","Email"
"First Name","Nome"
"General Information","Informazioni Generali"
"Grid","Griglia"
"ID","ID"
"Info","Informazioni"
"Last Name","Cognome"
"List","Elenco"
"Manage Tags","Gestisci Tag"
"Middle Name","Secondo Nome"
"My Recent Tags","Le Mie Etichette Recenti"
"My Tags","Le Mie Etichette"
"Name","Nome"
"New Tag","Nuovo Tag"
"No matches found.","Nessuna corrispondenza trovata."
"Other people marked this product with these tags:","Altre persone hanno contrassegnato questo prodotto con questi tag:"
"Pending","In Attesa"
"Pending Tags","Etichette In Sospeso"
"Popular","Popolare"
"Popular Tags","Tag Popolari"
"Price","Prezzo"
"Product Name","Nome Prodotto"
"Product SKU","Prodotto SKU"
"Product Tag API","Etichetta Prodotto API"
"Product Tags","Tag Prodotto"
"Products","Prodotti"
"Products Tagged by Administrators","Prodotti etichettati dagli amministratori"
"Products Tagged by Customers","Prodotti etichettati dai clienti"
"Products Tagged with '%s'","Prodotti etichettati con '%s'"
"Products tagged with '%s'","Prodotti taggati con '%s'"
"Rebuild Tag aggregation data","Ricostruisci i dati dell'aggregazione Tag"
"Remove","Rimuovi"
"Remove product tag","Rimuovi etichetta prodotto"
"Retrieve list of tags by product","Recupera l'elenco dei tag per prodotto"
"Retrieve product tag info","Recupera informazioni tag prodotto"
"SKU","SKU"
"Save Tag","Salva Tag"
"Save and Continue Edit","Salva e continua a modificare"
"Status","Stato"
"Store View","Vista Negozio"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" è già stato aggiunto al prodotto."
"Tag ""%s"" has been added to the product.","Tag ""%s"" è stato aggiunto al prodotto."
"Tag ""%s"" has been rejected by administrator.","Il tag ""%s"" è stato rifiutato dall'amministratore."
"Tag Aggregation Data","Dati Aggregazione Tag"
"Tag Name","Nome Tag"
"Tagged Products List","Elenco Prodotti Etichettati"
"Tags","Etichette"
"Tags List (All Available)","Elenco Tag (Tutti Disponibili)"
"Tags List Before","Elenco Tag Prima"
"Tags:","Tag:"
"Telephone","Telefono"
"The tag has been deleted.","Il tag è stato eliminato."
"There are no tags available.","Non ci sono tag disponibili."
"Unable to find any products tagged with '%s' in the current store","Impossibile trovare alcun prodotto etichettato con '%s' nel negozio corrente"
"Unable to remove tag. Please, try again later.","Impossibile rimuovere il tag. Riprova più tardi."
"Unable to save tag(s).","Impossibile salvare i tag(i)."
"Update","Aggiorna"
"Update product tag","Aggiorna tag prodotto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Usa spazi per separare i tag. Usa virgolette singole (') per le frasi."
"View All Tags","Visualizza Tutte Le Etichette"
"View Customers","Visualizza Clienti"
"View Products","Visualizza Prodotti"
"XML","XML"
"You have not tagged any products yet.","Non hai ancora contrassegnato alcun prodotto."
"ZIP/Post Code","CAP / Post Code"
"[STORE VIEW]","[VISTA STORI]"
