"%s-%s of %s","%s-%s de %s"
"%s - Go to Home Page","%s - Go to Home Page"
"%s Item(s)","%s Artigo(s)"
"-- Please Select --","-- Por favor, selecione --"
"-- Use Default --","-- Use Default --"
"1 column","1 coluna"
"2 columns with left bar","2 colunas com a barra à esquerda"
"2 columns with right bar","2 colunas com a barra à direita"
"3 columns","3 colunas"
"Account","Conta"
"All Empty Layout Pages","Todas as Páginas de Layout Vazias"
"All Minimal Layout Pages","All Minimal Layout Pages"
"All One-Column Layout Pages","Todas as Páginas de Layout de Uma Coluna"
"Allow","Autorizar"
"All Pages","Todas as Páginas"
"All Pages (Print Version)","Todas as Páginas (Versão de Impressão)"
"All Rights Reserved.","All Rights Reserved."
"All Three-Column Layout Pages","Todas as Páginas de Layout de Três Colunas"
"All Two-Column Layout Pages (Left Column)","Todas as Páginas de Layout de Duas Colunas (Coluna Esquerda)"
"All Two-Column Layout Pages (Right Column)","Todas as Páginas de Layout de Duas Colunas (Coluna Direita)"
"Breadcrumbs"," Migalhas de Pão"
"Browser Notice","Browser Notice"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se nada tiver acontecido"
"Close","Fechar"
"Close Window","Fechar janela"
"Default Description","Descrição Padrão"
"Deprecated: Use SVG or srcset","Deprecated: Use SVG or srcset"
"Empty","Vazio"
"Interface Language","Língua de Interface"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desativado no seu browser."
"Left Column","Coluna esquerda"
"Left Column First (shows above main column on smaller screens)","Coluna Esquerda Primeiro (mostra acima da coluna principal em ecrãs menores)"
"Logo Height (in px)","Logo Height (in px)"
"Logo Width (in px)","Logo Width (in px)"
"Main Content Area","Área de Conteúdo Principal"
"Main Navigation","Main Navigation"
"Menu","Menu"
"Minimal","Minimal"
"Navigation Bar","Barra de Navegação"
"Next","Continuar"
"Page:","Página:"
"Page Bottom","Fundo da Página"
"Page Footer","Rodapé da Página"
"Page Header","Cabeçalho da Página"
"Page Top","Topo da Página"
"per page","por página"
"Previous","Anterior"
"Primary sidebar","Primary sidebar"
"Redirecting...","Redirecionando..."
"Results per page","Resultados por página"
"Right Column","Coluna Direita"
"Right sidebar","Right sidebar"
"Search","Pesquisa"
"Secondary sidebar","Secondary sidebar"
"Select Store","Selecionar Loja"
"Select Store:","Selecione Loja:"
"Show","Mostrar"
"Skip to main content","Skip to main content"
"Store Notice","Store Notice"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Qualquer encomenda realizada através desta loja não será honrada ou cumprida."
"View All","Ver tudo"
"Welcome!","Welcome!"
"Welcome, %s!","Bem-vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","É necessário ter JavaScript ativado no seu navegador para utilizar a funcionalidade deste website."
"Your Language","O seu Idioma"
"Your Language:","O seu Idioma:"
