"%d country(s) were skipped because they have existing country names.","%d country(s) were skipped because they have existing country names."
"%d region(s) were skipped because they have existing region names.","%d region(s) were skipped because they have existing region names."
"-- Please select --","-- Por favor selecione --"
"A country name for this locale and country combination already exists.","A country name for this locale and country combination already exists."
"A country with this ID already exists.","A country with this ID already exists."
"Add New Country","Add New Country"
"Add New Region","Add New Region"
"Add Translation","Add Translation"
"Allowed Currencies","Moedas Permitidas"
"An invalid base currency has been entered.","Foi introduzida uma moeda base inválida."
"API Access Key","Chave de Acesso API"
"API Key","Chave de API"
"A region name for this locale and region combination already exists.","A region name for this locale and region combination already exists."
"A region with code ""%s"" already exists in this country.","A region with code ""%s"" already exists in this country."
"Are you sure you want to delete the selected countries?","Are you sure you want to delete the selected countries?"
"Are you sure you want to delete the selected country names?","Are you sure you want to delete the selected country names?"
"Are you sure you want to delete the selected region names?","Are you sure you want to delete the selected region names?"
"Are you sure you want to delete the selected regions?","Are you sure you want to delete the selected regions?"
"Are you sure you want to delete this country?","Are you sure you want to delete this country?"
"Are you sure you want to delete this region?","Are you sure you want to delete this region?"
"Base Currency","Moeda Base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Moeda base é utilizada para todas as transações de pagamento online. O âmbito é definido pelo âmbito de preço do catálogo (""Catálogo"" > ""Preço"" > ""Âmbito de Preço do Catálogo"")."
"Can't convert rate from ""%s-%s"".","Não é possível converter taxa de ""%s-%s""."
"Cannot delete country with existing country names. Please delete all country names first.","Cannot delete country with existing country names. Please delete all country names first."
"Cannot delete region with existing region names. Please delete all region names first.","Cannot delete region with existing region names. Please delete all region names first."
"Cannot retrieve rate from %s.","Não é possível obter taxa de %s."
"Choose popular countries that should be grouped on top of the country list.","Choose popular countries that should be grouped on top of the country list."
"Connection Timeout in Seconds","Tempo Limite da Ligação em Segundos"
"Continue &raquo;","Continuar »"
"Countries","Countries"
"Country","País"
"Country and Format Type combination should be unique","A combinação de País e Tipo de Formato devia ser única"
"Country API","API de País"
"Country ID","Country ID"
"Country ID cannot be changed after creation","Country ID cannot be changed after creation"
