" for more information or "," para mais informação ou "
"# of Items (and above)","# de artigos (e acima)"
"# of Items vs. Destination","n º de Itens vs. Destino"
"Allow Shipping to Multiple Addresses","Permitir Envio para Várias Moradas"
"An error occurred while import table rates.","Ocorreu um erro ao importar taxas de tabela."
"Calculate Handling Fee","Calcular Taxa de Processamento"
"Carrier:","Transportador:"
"City","Cidade"
"Close Window","Fechar janela"
"Condition","Condição"
"Country","País"
"Custom Value","Valor Personalizado"
"Date","Data"
"Delivered on:","Entregar em:"
"Delivered to:","Entregue para:"
"Description","Descrição"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Divide to equal weight (one request)","Dividir o peso igual (um pedido)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicar Linha #%s (País ""%s"", Região/Estado ""%s"", CEP ""%s"" e Valor ""%s"")."
"Enabled","Ativo"
"Error:","Erro:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","Ficheiro não foi importado. Veja a lista de erros seguinte: %s"
"Fixed","Fixo"
"Flat Rate","Taxa Fixa"
"Free Shipping","Portes Grátis"
"Handling Fee","Taxa de Processamento"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Info:","Informação:"
"Invalid %s ""%s"" in the Row #%s.","Inválido %s ""%s"" na Linha #%s."
"Invalid Country ""%s"" in the Row #%s.","País inválido ""%s"" na Linha #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Região/Estado inválido ""%s"" na Linha #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Preço de Envio Inválido ""%s"" na Linha #%s."
"Invalid Table Rate code for type %s: %s","Código de taxa de tabela inválido para tipo %s: %s"
"Invalid Table Rate code type: %s","Código de tipo de tarifa de tabela inválido: %s"
"Invalid Table Rates File Format","Ficheiro de Tarifas de Tabela Inválido"
"Invalid Table Rates format in the Row #%s","Format de Taxas de Tabela Inválido na Linha #%s"
"Local Time","Hora local"
"Location","Localização"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd Máxima Permitida para Envio para Várias Moradas"
"Method Name","Nome do Método"
"Minimum Order Amount","Valor Mínimo do Pedido"
"N/A","N/D"
"None","Nenhum"
"Options","Opções"
"Order Subtotal (and above)","Subtotal da Encomenda (e acima)"
"Origin","Origem"
"Per Order","Por encomenda"
"Per Package","Por pacote"
"Percent","Por cento"
"Price","Preço"
"Price vs. Destination","Preço vs. destino"
"Region/State","Região/Concelho"
"Service Type:","Tipo de Serviço:"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Shipment #","Expedição #"
"Shipment Tracking Popup","Popup de Rastreio de Envio"
"Shipped or billed on:","Enviado ou faturado em:"
"Shipping Methods","Métodos de Envio"
"Shipping Settings","Definições de envio"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Signed by:","Assinado por:"
"Sort Order","Ordenação"
"Status:","Estado:"
"Store Pickup","Levantamento em Loja"
"Street Address","Morada"
"Street Address Line 2","Morada (Linha 2)"
"Table Rates","Taxas Tabeladas"
"The shipping module is not available for selected delivery country.","O módulo de envio não está disponível para o país de entrega selecionado."
"The shipping module is not available.","O módulo de envio não está disponível."
"There is no tracking available for this shipment.","Não existe informação de envio disponível para esta expedição."
"There is no tracking available.","Não existe informação de envio disponível."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio encontra-se atualmente indisponível. Se deseja enviar utilizando este método de envio, por favor contacte-nos."
"This shipping method is not available, please specify ZIP-code","Este método de envio não está disponível, especifique o código postal"
"Title","Título"
"Track:","Seguir:"
"Tracking Information","Informação de envio"
"Tracking Number:","Número de envio:"
"Tracking information is currently not available. Please ","A informação de envio não está disponível. Por favor, "
"Tracking information is currently unavailable.","A informação de rastreamento está atualmente indisponível."
"Type","Tipo"
"Use origin weight (few requests)","Utilizar peso original (poucos pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso vs. Destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","contacte-nos"
"email us at ","envie-nos e-mail para "
