"# of Items (and above)","# de artigos (e acima)"
"# of Items vs. Destination","n º de Itens vs. Destino"
"Allow Shipping to Multiple Addresses","Permitir Envio para Várias Moradas"
"An error occurred while import table rates.","An error occurred while import table rates."
"Calculate Handling Fee","Calcular Taxa de Processamento"
"Carrier:","Transportador:"
"City","Cidade"
"Close Window","Fechar janela"
"Condition","Condição"
"contact us","contacte-nos"
"Country","País"
"Custom Value","Valor Personalizado"
"Date","Data"
"Delivered on:","Entregar em:"
"Delivered to:","Delivered to:"
"Description","Descrição"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Divide to equal weight (one request)","Dividir o peso igual (um pedido)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")."
"email us at ","envie-nos e-mail para "
"Enabled","Ativo"
"Error:","Erro:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","File has not been imported. See the following list of errors: %s"
"Fixed","Fixo"
"Flat Rate","Taxa Fixa"
" for more information or "," para mais informação ou "
"Free Shipping","Portes Grátis"
"Handling Fee","Taxa de Processamento"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Info:","Informação:"
"Invalid %s ""%s"" in the Row #%s.","Invalid %s ""%s"" in the Row #%s."
"Invalid Country ""%s"" in the Row #%s.","Invalid Country ""%s"" in the Row #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Invalid Region/State ""%s"" in the Row #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Invalid Shipping Price ""%s"" in the Row #%s."
"Invalid Table Rate code for type %s: %s","Invalid Table Rate code for type %s: %s"
"Invalid Table Rate code type: %s","Invalid Table Rate code type: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Local Time","Hora local"
"Location","Localização"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd Máxima Permitida para Envio para Várias Moradas"
"Method Name","Nome do Método"
"Minimum Order Amount","Valor Mínimo do Pedido"
"N/A","N/D"
"None","Nenhum"
"Options","Opções"
"Order Subtotal (and above)","Subtotal da Encomenda (e acima)"
"Origin","Origem"
"Percent","Por cento"
"Per Order","Por encomenda"
"Per Package","Por pacote"
"Price","Preço"
"Price vs. Destination","Preço vs. destino"
"Region/State","Região/Concelho"
"Service Type:","Service Type:"
"Shipment #","Expedição #"
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Shipped or billed on:"
"Shipping Methods","Métodos de Envio"
"Shipping Settings","Definições de envio"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Signed by:","Signed by:"
"Sort Order","Ordenação"
"Status:","Estado:"
"Store Pickup","Levantamento em Loja"
"Street Address","Morada"
"Street Address Line 2","Morada (Linha 2)"
"Table Rates","Taxas Tabeladas"
"There is no tracking available.","Não existe informação de envio disponível."
"There is no tracking available for this shipment.","Não existe informação de envio disponível para esta expedição."
"The shipping module is not available.","O módulo de envio não está disponível."
"The shipping module is not available for selected delivery country.","The shipping module is not available for selected delivery country."
"This shipping method is currently unavailable.","This shipping method is currently unavailable."
"This shipping method is not available, please specify ZIP-code","This shipping method is not available, please specify ZIP-code"
"Title","Título"
"Track:","Seguir:"
"Tracking Information","Informação de envio"
"Tracking information is currently not available. Please ","A informação de envio não está disponível. Por favor, "
"Tracking information is currently unavailable.","Tracking information is currently unavailable."
"Tracking Number:","Número de envio:"
"Type","Tipo"
"Use origin weight (few requests)","Utilizar peso original (poucos pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight:","Weight:"
"Weight vs. Destination","Peso vs. Destino"
"ZIP/Postal Code","Código Postal"
