"%1$s incl tax.","%1$s incl imposto."
"* Required Fields","* Campos obrigatórios"
"-- Select --","-- Selecione --"
"Add New Option","Adicionar Nova Opção"
"Add Selection","Adicionar seleção"
"As Low as","A Partir de"
"As low as","Tão baixo quanto"
"Bundle Items","Itens do pacote"
"Bundle Product","Pacote de Produto"
"Buy %1$s","Comprar %1$s"
"Buy %1$s for","Comprar %1$s por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. Imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Buy %1$s with %2$s discount each","Compre %1$s com desconto %2$s cada"
"Catalog Product View (Bundle)","Visualizar Catálogo Produto (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Escolha uma seleção..."
"Click for price","Clique para preço"
"Close","FECHAR"
"Default","Padrão"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Suspender"
"Dynamic","Dinâmico"
"Excl. Tax","Imposto Excl."
"Excl. Tax:","Imposto Excl:"
"Fixed","Corrigido"
"From","De"
"From:","De:"
"Gift Message","Mensagem do presente"
"Incl. Tax","Imposto Incl."
"Incl. Tax:","Imposto incl.:"
"Input Type","Input Type"
"Is Required","É necessário"
"Message:","Mensagem:"
"Multiple Select","Seleção Múltipla"
"N/A","N/D"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"None","Nenhuma"
"Percent","Porcentagem"
"Percent Discount","Porcentagem de desconto"
"Please Select Products to Add","Por favor, selecione produtos para adicionar"
"Please enter a number greater 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter search conditions to view products.","Por favor, insira as condições de busca para ver os produtos."
"Please select options for product.","Por favor, selecione as opções do produto."
"Please specify product option(s).","Informe as opções do produto."
"Position","Posição"
"Price Range","Faixa de Preço"
"Price Type","Tipo de preço"
"Price as configured","Preço como configurado"
"Qty:","Qtd:"
"Radio Buttons","Botões de Rádio"
"Required options are not selected.","As opções necessárias não estão selecionadas."
"SKU","Código"
"Selected required options are not available.","As opções necessárias selecionadas não estão disponíveis."
"Separately","Separadamente"
"Ship Bundle Items","Pacote de Navios"
"Shipment","Envio"
"Store View Title","Título Visão de Loja"
"There is no defined renderer for ""%s"" option type.","Não há nenhum renderizador definido para ""%s"" tipo de opção."
"This product is also part of bundle(s)","Este produto também faz parte do(s) bundle(s)"
"To","Para"
"To:","Para:"
"Together","Juntos"
"Total incl. Tax: %1$s","Total incl. Imposto: %1$s"
"Use Default Value","Usar Valor Padrão"
"User Defined Qty","Qtd Definida pelo Usuário"
"and","e"
"each","cada"
"save","Salvar"
