"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalogus Prijzenregels gebaseerd op ""%s"" kenmerk zijn uitgeschakeld."
"Actions","Acties"
"Active","Actief"
"Add New Rule","Voeg nieuwe regel toe"
"An error occurred while deleting the rule. Please review the log and try again.","Een fout is opgetreden bij het verwijderen van de regel. Controleer het logboek en probeer het opnieuw."
"An error occurred while saving the rule data. Please review the log and try again.","Een fout is opgetreden tijdens het opslaan van de regelgegevens. Bekijk het logboek en probeer het opnieuw."
"Apply","Toepassen"
"Apply Rules","Regels toepassen"
"Attribute Set","Attributenset"
"By Fixed Amount","Met vast bedrag"
"By Percentage of the Original Price","Op percentage van de oorspronkelijke prijs"
"Catalog","Catalogus"
"Catalog Price Rule","Catalogus Prijsregel"
"Catalog Price Rules","Catalogusprijs Regels"
"Category","Categorie"
"Conditions","Voorwaarden"
"Conditions (leave blank for all products)","Condities (laat leeg voor alle producten)"
"Conditions Combination","Voorwaardencombinatie"
"Customer Groups","Klantengroepen"
"Date Expire","Verloopdatum"
"Date From","Datum vanaf"
"Date Start","Begindatum"
"Date To","Datum tot"
"Description","Omschrijving"
"Discount Amount","Korting"
"Edit Rule","Bewerk regel"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Enable Discount to Subproducts","Inschakelen Korting op Subproducten"
"Expiration Date","Vervaldatum"
"From Date","Vanaf datum"
"General Information","Algemene informatie"
"ID","ID"
"Inactive","Inactief"
"New Rule","Nieuwe regel"
"No","Nee"
"Options","Opties"
"Priority","Prioriteit"
"Product Attribute","Product-attribuut"
"Promotions","Promoties"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Save and Apply","Opslaan en toepassen"
"Save and Continue Edit","Toepassen"
"Start Date","begindatum"
"Status","status"
"Stop Further Rules Processing","Stop Verder Regels Verwerking"
"The rule has been deleted.","De regel is verwijderd."
"The rule has been saved.","De regel is opgeslagen."
"The rules have been applied.","I'm ready to translate. Please provide the content to be translated to ""nl_NL""."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Er zijn regels die zijn gewijzigd maar niet zijn toegepast. Alleen gebruikers met exclusieve toegang kunnen regels toepassen."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Er zijn regels die zijn gewijzigd maar niet zijn toegepast. Klik op Toepassen regels om onmiddellijke effecten in de catalogus te zien."
"This rule no longer exists.","Deze regel bestaat niet langer."
"To Date","Tot datum"
"To Fixed Amount","Tot vast bedrag"
"To Percentage of the Original Price","Als percentage van de oorspronkelijke prijs"
"Type","Soort"
"Unable to apply rules."," Niet in staat om regels toe te passen."
"Unable to find a rule to delete.","Kan geen regel vinden om te verwijderen."
"Update Prices Using the Following Information","Bijwerken Prijzen Met De Volgende Informatie"
"Update product's %s %s: %s","Producten %s %s: %s updaten"
"Website","Website"
"Websites","Websites"
"Wrong rule specified","Fout regel opgegeven"
"Wrong rule specified.","Verkeerde regel opgegeven."
"Yes","Ja"
