"-- Please Select --","-- Selecteer --"
"0 = never expires. Can be overridden per product.","0 = never expires. Can be overridden per product."
"Action","Actie"
"Active","Actief"
"Add a message...","Add a message..."
"Add New Gift Card","Add New Gift Card"
"Admin Comment","Admin Comment"
"Allow Gift Message","Cadeau bericht toestaan"
"Allow Message","Bericht toestaan"
"All Websites","Alle Websites"
"Amount","Aantal"
"Amount Range","Amount Range"
"An error occurred. Please try again.","An error occurred. Please try again."
"Applied Gift Cards:","Applied Gift Cards:"
"Apply","Toepassen"
"Apply Gift Card","Cadeaubon toepassen"
"Applying...","Applying..."
"Balance","Saldo"
"Balance: %s","Balance: %s"
"Balance After","Balance After"
"Balance Before","Balance Before"
"Can be overridden per product.","Can be overridden per product."
"Cannot apply gift card.","Cannot apply gift card."
"Cannot remove gift card.","Cannot remove gift card."
"Card Type","Card Type"
"Check","Check"
"Check Balance","Check Balance"
"Checking...","Checking..."
"Code","Interne naam"
"Code Length","Lengte code"
"Code Prefix (e.g., GC)","Code Prefix (e.g., GC)"
"Comma-separated values (e.g., 25,50,100)","Comma-separated values (e.g., 25,50,100)"
"Created","Aangemaakt"
"Created %d gift card product(s): %s","Created %d gift card product(s): %s"
"Created At","Aangemaakt Op"
"Create Gift Card Products","Create Gift Card Products"
"Current Balance","Current Balance"
"Custom Amount","Custom Amount"
"Date","Datum"
"Default: %s","Default: %s"
"Default Expiry (days)","Default Expiry (days)"
"Delete","Verwijderen"
"Delete Gift Card","Delete Gift Card"
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Edit Gift Card '%s'","Edit Gift Card '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment."
"Email Sender","Afzender E-mail"
"Email Settings","Email Settings"
"Email Template","E-mail template"
"Enable Gift Cards","Enable Gift Cards"
"Enter gift card code","Voer de code op uw cadeaubon in"
"Error generating gift card PDF: %s","Error generating gift card PDF: %s"
"Expired","Verlopen"
"Expires","Verloopt"
"Expires At","Expires At"
"Fixed + Range","Fixed + Range"
"Fixed Amount(s)","Fixed Amount(s)"
"Fixed Amounts","Fixed Amounts"
"From","Van"
"From:","Van:"
"Gift Card","Cadeaubon"
"Gift card ""%s"" has been fully used.","Gift card ""%s"" has been fully used."
"Gift card ""%s"" has expired.","Gift card ""%s"" has expired."
"Gift card ""%s"" is already applied.","Gift card ""%s"" is already applied."
"Gift card ""%s"" is not active.","Gift card ""%s"" is not active."
"Gift card ""%s"" is not valid.","Gift card ""%s"" is not valid."
"Gift card ""%s"" is not valid for this website.","Gift card ""%s"" is not valid for this website."
"Gift card ""%s"" was applied.","Gift card ""%s"" was applied."
"Gift card amount cannot be less than %s","Gift card amount cannot be less than %s"
"Gift card amount cannot be more than %s","Gift card amount cannot be more than %s"
"Gift Card Code","Cadeaubon-code"
"Gift Card History","Gift Card History"
"Gift Card Information","Cadeau kaartinformatie"
"Gift card not found.","Gift card not found."
"Gift Card Notification Email","Gift Card Notification Email"
"Gift Card Options","Gift Card Options"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first."
"Gift Cards","Cadeaubonnen"
"Gift cards cannot be used to purchase gift card products.","Gift cards cannot be used to purchase gift card products."
"Gift Cards Configuration","Gift Cards Configuration"
"Gift Card Transaction History","Gift Card Transaction History"
"Gift card was removed.","Gift card was removed."
"Gift Certificates","Gift Certificates"
"Inactive","Inactief"
"Initial Balance","Initial Balance"
"Invalid form key. Please refresh the page and try again.","Invalid form key. Please refresh the page and try again."
"Invalid gift card code.","Invalid gift card code."
"Invalid request.","Invalid request."
"Leave blank for immediate delivery","Leave blank for immediate delivery"
"Leave empty to use system default. 0 = never expires.","Leave empty to use system default. 0 = never expires."
"Lifetime (days)","Levensduur (dagen)"
"Lost cards not replaced","Lost cards not replaced"
"Manage Gift Cards","Manage Gift Cards"
"Maximum Amount","Maximum Amount"
"Message:","Bericht:"
"Minimum Amount","Minimum bestelbedrag"
"New Gift Card","New Gift Card"
"Not redeemable for cash","Not redeemable for cash"
"Optional","Optioneel"
"Order #","Ordernr."
"Order History","Bestelgeschiedenis"
"Other Amount","Other Amount"
"Personal Message","Personal Message"
"Please enter a gift card code.","Please enter a gift card code."
"Please select a valid gift card amount","Please select a valid gift card amount"
"Please select gift card(s).","Please select gift card(s)."
"Price varies","Price varies"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","E-mail van ontvanger"
"Recipient Name","Naam geadresseerde"
"Refund Expiration Extension (days)","Refund Expiration Extension (days)"
"Refund to Gift Card","Refund to Gift Card"
"Remove","Verwijder"
"Save And Continue Edit","Save And Continue Edit"
"Save Gift Card","Save Gift Card"
"Schedule Delivery","Schedule Delivery"
"Select Amount","Select Amount"
"Send Email","Verstuur e-mail"
"Send gift card email to %s?","Send gift card email to %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","status"
"The gift card has been deleted.","The gift card has been deleted."
"The gift card has been saved.","The gift card has been saved."
"This gift card no longer exists.","This gift card no longer exists."
"This is a required field.","Dit is een verplicht veld."
"To","Aan"
"Too many attempts. Please wait a moment and try again.","Too many attempts. Please wait a moment and try again."
"Total: %s","Total: %s"
"Unable to check balance.","Unable to check balance."
"Unable to find a gift card to delete.","Unable to find a gift card to delete."
"Unknown","Onbekend"
"Updated At","Bijgewerkt op"
"Used","Gebruikt"
"Use Default (%s)","Use Default (%s)"
"View","Bekijk"
"Website","Website"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored)."
"Your Email","Your Email"
"Your Name","Your Name"
