"-- Please Select --","-- Selecteer --"
"0 = never expires. Can be overridden per product.","0 = nooit vervalt. Kan overschreven worden per product."
"Action","actie"
"Active","actief"
"Add a message...","Bericht toevoegen..."
"Add New Gift Card","Nieuwe cadeaubon toevoegen"
"Admin Comment","Commentaar beheerder"
"Allow Gift Message","Cadeaubericht toestaan"
"Allow Message","Bericht toestaan"
"All Websites","Alle websites"
"Amount","Hoeveelheid"
"Amount Range","Bedrag bereik"
"An error occurred. Please try again.","Er is een fout opgetreden. Probeer het opnieuw."
"Applied Gift Cards:","Toegepaste Cadeaukaarten:"
"Apply","Toepassen"
"Apply Gift Card","Cadeaubon toepassen"
"Applying...","Toepassen..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo Na"
"Balance Before","Saldo vóór"
"Can be overridden per product.","Kan worden overschreven per product."
"Cannot apply gift card.","Kan geen cadeaubon toepassen."
"Cannot remove gift card.","Kan cadeaubon niet verwijderen."
"Card Type","Type creditcard"
"Check","Controleer"
"Check Balance","Controleer Saldo"
"Checking...","Controleren..."
"Code","Code"
"Code Length","Lengte code"
"Code Prefix (e.g., GC)","Code voorvoegsel (b.v. GC)"
"Comma-separated values (e.g., 25,50,100)","Kommagescheiden waarden (bijv. 25,50,100)"
"Created","Aangemaakt"
"Created %d gift card product(s): %s","%d cadeaubon producten aangemaakt: %s"
"Created At","Aangemaakt op"
"Create Gift Card Products","Cadeaubon producten aanmaken"
"Current Balance","Huidig saldo"
"Custom Amount","Aangepast bedrag"
"Date","Datum:"
"Default: %s","Standaard: %s"
"Default Expiry (days)","Standaard Vervaldatum (dagen)"
"Delete","Verwijderen"
"Delete Gift Card","Verwijder Cadeaubon"
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Edit Gift Card '%s'","Bewerk cadeaubon '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Bewerk dit om het saldo handmatig aan te passen. Gebruik ""Admin commentaar"" om de aanpassing uit te leggen."
"Email Sender","Afzender e-mail"
"Email Settings","E-mail instellingen"
"Email Template","E-mail sjabloon"
"Enable Gift Cards","Cadeaubonnen inschakelen"
"Enter gift card code","Voer kadoboncode in"
"Error generating gift card PDF: %s","Fout bij genereren cadeaubon PDF: %s"
"Expired","Verlopen"
"Expires","Verloopt"
"Expires At","Verloopt op"
"Fixed + Range","Vast + bereik"
"Fixed Amount(s)","Vaste bedrag(en)"
"Fixed Amounts","Vaste bedragen"
"From","van"
"From:","Van:"
"Gift Card","Cadeau kaart"
"Gift card ""%s"" has been fully used.","Cadeaubon ""%s"" is volledig gebruikt."
"Gift card ""%s"" has expired.","Cadeaubon ""%s"" is verlopen."
"Gift card ""%s"" is already applied.","Kadobon ""%s"" is al toegepast."
"Gift card ""%s"" is not active.","Cadeaubon ""%s"" is niet actief."
"Gift card ""%s"" is not valid.","Cadeaubon ""%s"" is niet geldig."
"Gift card ""%s"" is not valid for this website.","Cadeaubon ""%s"" is niet geldig voor deze website."
"Gift card ""%s"" was applied.","Cadeaubon ""%s"" werd toegepast."
"Gift card amount cannot be less than %s","Bedrag van de cadeaubon mag niet kleiner zijn dan %s"
"Gift card amount cannot be more than %s","Bedrag van de cadeaubon kan niet meer zijn dan %s"
"Gift Card Code","Cadeaubon Code"
"Gift Card History","Cadeaubon geschiedenis"
"Gift Card Information","Cadeaubon informatie"
"Gift card not found.","Cadeaubon niet gevonden."
"Gift Card Notification Email","Cadeaubon melding e-mail"
"Gift Card Options","Cadeaubon opties"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Cadeaubon producten kunnen niet worden toegevoegd wanneer een cadeaubon code wordt toegepast. Verwijder eerst de cadeaubon code."
"Gift Cards","Cadeaubonnen"
"Gift cards cannot be used to purchase gift card products.","Cadeaubonnen kunnen niet worden gebruikt om cadeaubonnen te kopen."
"Gift Cards Configuration","Cadeaubon configuratie"
"Gift Card Transaction History","Cadeaubon transactiegeschiedenis"
"Gift card was removed.","Cadeaubon is verwijderd."
"Gift Certificates","Cadeaubonnen"
"Inactive","Inactief"
"Initial Balance","Eerste saldo"
"Invalid form key. Please refresh the page and try again.","Ongeldige formuliersleutel. Ververs de pagina en probeer het opnieuw."
"Invalid gift card code.","Ongeldige kadobon code."
"Invalid request.","Ongeldig verzoek."
"Leave blank for immediate delivery","Laat leeg voor onmiddellijke levering"
"Leave empty to use system default. 0 = never expires.","Laat leeg om systeem standaard te gebruiken. 0 = nooit vervalt."
"Lifetime (days)","Levenslang (dagen)"
"Lost cards not replaced","Verloren kaarten niet vervangen"
"Manage Gift Cards","Cadeaubonnen beheren"
"Maximum Amount","Maximum bedrag"
"Message:","Bericht:"
"Minimum Amount","Minimale hoeveelheid"
"New Gift Card","Nieuwe cadeaubon"
"Not redeemable for cash","Niet inwisselbaar voor contanten"
"Optional","Optioneel"
"Order #","Bestelling #"
"Order History","Overzicht bestellingen"
"Other Amount","Ander bedrag"
"Personal Message","Persoonlijk bericht"
"Please enter a gift card code.","Voer een cadeaubon code in."
"Please select a valid gift card amount","Selecteer een geldig bedrag voor de cadeaubon"
"Please select gift card(s).","Selecteer cadeaubon(nen)."
"Price varies","Prijs varieert"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","E-mailadres ontvanger"
"Recipient Name","Naam ontvanger"
"Refund Expiration Extension (days)","Restitutie afloopextensie (dagen)"
"Refund to Gift Card","Terugbetaling naar Cadeaubon"
"Remove","Verwijderen"
"Save And Continue Edit","Opslaan en doorgaan met bewerken"
"Save Gift Card","Cadeaubon opslaan"
"Schedule Delivery","Aflevering inplannen"
"Select Amount","Bedrag selecteren"
"Send Email","E-mail verzenden"
"Send gift card email to %s?","Verzend een cadeaubon naar %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","status"
"The gift card has been deleted.","De kadobon is verwijderd."
"The gift card has been saved.","De kadobon is opgeslagen."
"This gift card no longer exists.","Deze cadeaubon bestaat niet meer."
"This is a required field.","Dit is een verplicht veld."
"To","tot"
"Too many attempts. Please wait a moment and try again.","Te veel pogingen. Wacht even en probeer het opnieuw."
"Total: %s","Totaal: %s"
"Unable to check balance.","Kan saldo niet checken."
"Unable to find a gift card to delete.","Kan geen cadeaubon vinden om te verwijderen"
"Unknown","onbekend"
"Updated At","Bijgewerkt op"
"Used","Gebruikt"
"Use Default (%s)","Gebruik standaard (%s)"
"View","Bekijken"
"Website","website"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Bij terugbetaling van een verlopen cadeaubond, verhoog de vervaldatum met dit aantal dagen. 0 = geen extensie (kaart blijft verlopen maar het saldo is hersteld)."
"Your Email","Je e-mail"
"Your Name","Uw naam"
