"
                                                        <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                    ","                                                         <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Waarom financiering adverteren?</a><br/>
                                            <strong>Geef uw verkoop een boost wanneer u financiering adverteert.</strong><br/>PayPal helpt browsers omvormen tot kopers met financiering
                                            van Paypal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooruit wordt betaald – zonder extra kosten voor u.
                                            Gebruik PayPal's gratis banneradvertenties die u laten adverteren Paypal Credit&#174; financiering als een betaalmethode wanneer uw klanten uitchecken met PayPal.
                                            Het PayPal Adverteren Programma is bewezen om extra aankopen te genereren, evenals de gemiddelde aankoopsom van consumenten te verhogen met 15%
                                            of meer. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Zie Details</a>.                                                     "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                                    <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                                    from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                                    Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                                    The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                                    or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Waarom financiering adverteren?</a><br/>
                                                    <strong>Geef uw verkoop een boost wanneer u financiering adverteert.</strong><br/>PayPal helpt browsers omvormen tot kopers met financiering
                                                    van Paypal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooruit wordt betaald – zonder extra kosten voor u.
                                                    Gebruik PayPal's gratis banneradvertenties die u laten adverteren Paypal Credit&#174; financiering als een betaalmethode wanneer uw klanten uitchecken met PayPal.
                                                    Het PayPal-advertentieprogramma heeft aangetoond dat het additionele aankopen genereert, evenals de gemiddelde aankoopsom van consumenten met 15%
                                                    of meer verhoogt. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Zie details</a>.                                                 "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Waarom financiering adverteren?</a><br/>
                                            <strong>Geef uw verkoop een boost wanneer u financiering adverteert.</strong><br/>PayPal helpt browsers omvormen tot kopers met financiering
                                            van Paypal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooruit wordt betaald – zonder extra kosten voor u.
                                            Gebruik PayPal's gratis banneradvertenties die u laten adverteren Paypal Credit&#174; financiering als een betaalmethode wanneer uw klanten uitchecken met PayPal.
                                            Het PayPal-advertentieprogramma heeft aangetoond dat het additionele aankopen genereert, evenals de gemiddelde aankoopsom van consumenten met 15%
                                            of meer verhoogt. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Zie details</a>.                                                 "
"
                                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                        ","                                             <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Waarom financiering adverteren?</a><br/>
                                            <strong>Geef uw verkoop een boost wanneer u financiering adverteert.</strong><br/>PayPal helpt browsers omvormen tot kopers met financiering
                                            van Paypal Credit&#174;. Uw klanten hebben meer tijd om te betalen, terwijl u vooruit wordt betaald – zonder extra kosten voor u.
                                            Gebruik PayPal's gratis banneradvertenties die u laten adverteren Paypal Credit&#174; financiering als een betaalmethode wanneer uw klanten uitchecken met PayPal.
                                            Het PayPal-advertentieprogramma heeft aangetoond dat het additionele aankopen genereert, evenals de gemiddelde aankoopsom van consumenten met 15%
                                            of meer verhoogt. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Bekijk details</a>.                                         "
"-OR-","-of"
"120 x 240","120 x 240"
"120 x 600","120 x 600"
"120 x 90","120 x 90"
"190 x 100","190 x 100"
"2-pixel perimeter around the header space.","2-pixel omtrek rond de koptekst ruimte."
