"Action","Actie"
"Active","Actief"
"Add New Rule","Voeg nieuwe regel toe"
"Apply rule to source products matching the following conditions (leave blank for all products)","Apply rule to source products matching the following conditions (leave blank for all products)"
"Are you sure?","Weet u het zeker?"
"Catalog","Catalogus"
"Change status","Verander status"
"Conditions","Voorwaarden"
"Conditions Combination","Voorwaardencombinatie"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am)."
"Cron Schedule","Cron Schedule"
"Cross-sell Products","Cross-sell Products"
"Delete","Verwijderen"
"Delete Rule","Regel verwijderen"
"Description","Omschrijving"
"Disabled","Uitgeschakeld"
"does not match source","does not match source"
"Edit","Bewerken"
"Edit Rule '%s'","Edit Rule '%s'"
"Enabled","Ingeschakeld"
"From Date","From Date"
"ID","ID"
"Inactive","Inactief"
"Link to target products matching the following conditions (leave blank for all products)","Link to target products matching the following conditions (leave blank for all products)"
"Link Type","Link Type"
"Lower number = higher priority","Lower number = higher priority"
"matches source","matches source"
"Maximum Links","Maximum Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximum number of linked products per source product (leave empty for unlimited)"
"Name: A-Z","Name: A-Z"
"Name: Z-A","Name: Z-A"
"Newest First","Newest First"
"New Rule","Nieuwe regel"
"Oldest First","Oldest First"
"Please select rule(s).","Please select rule(s)."
"Price: High to Low","Price: High to Low"
"Price: Low to High","Price: Low to High"
"Priority","Prioriteit"
"Product Attribute","Product-attribuut"
"Product Link Rules","Product Link Rules"
"Product Relationship Rules","Product Relationship Rules"
"Random (Default)","Random (Default)"
"Related Products","Gerelateerde producten"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Save and Continue Edit","Toepassen"
"Save Rule","Regel opslaan"
"Sort Order","Sorteervolgorde"
"Source Product Conditions","Source Product Conditions"
"Source products matching %s of these conditions are %s:","Source products matching %s of these conditions are %s:"
"Status","status"
"Target Conditions","Target Conditions"
"Target product attribute will be compared to source product","Target product attribute will be compared to source product"
"Target Product Conditions","Target Product Conditions"
"Target products matching %s of these conditions are %s:","Target products matching %s of these conditions are %s:"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Deze regel bestaat niet langer."
"To Date","To Date"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Up-sell Products","Up-sell Products"
