"Add","Toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add links and samples to downloadable product","Voeg links en voorbeelden toe aan downloadable product"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumeriek- (a-z en A-Z), streepje- (-) en underscore- (_) karakters zijn aanbevolen voor bestandnamen. Ongeldige karakters worden vervangen door een underscore (_)."
"An error occurred while getting the requested content.","Er is een fout opgetreden bij het ophalen van de gevraagde inhoud."
"An error occurred while getting the requested content. Please contact the store owner.","Er is een fout opgetreden bij het ophalen van de gevraagde inhoud. Neem alstublieft contact op met de winkelier."
"An error occurred while saving the file(s).","Er is een fout opgetreden bij het opslaan."
"Availability:","Beschikbaarheid:"
"Back","Terug"
"Canceled","Geannuleerd"
"Cannot connect to remote host, error: %s.","Kan geen verbinding maken met externe host, fout: %s."
"Catalog Product View (Downloadable)","Catalogusproductweergave (Downloadbaar)"
"Category API","Categorie API"
"Customer My Account Downloadable Items","Klant Mijn Account Downloadbare Items"
"Date","Datum"
"Default Link Title","Standaard-linktitel"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Delete","Verwijderen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Niet-ingelogd afrekenen uitschakelen als het winkelwagen download-producten bevat."
"Disable Sample","Disable Sample"
"Downloadable Information","Downloadbare informatie"
"Downloadable Product","Download-product"
"Downloadable Product Options","Opties download-product"
"Edit","Bewerken"
"Edit item parameters","Wijzig product-parameters"
"Excl. Tax","Excl. BTW"
"File","Bestand"
"File:","File:"
"From:","Van:"
"Gift Message","Cadeau-bericht"
"Go to <a href=""%s"">My Downloadable Products</a>","Ga naar <a href=""%s"">Mijn download-producten</a>"
"Guest checkout will only work with shareable.","Afrekenen als gast werk alleen met deelbare producten"
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Invalid download URL host.","Ongeldige download-URL-host."
"Invalid download URL scheme.","Ongeldig download-URL-scheme."
"Invalid download link type.","Ongeldige download link type"
"Invoiced","Gefactureerd"
"Links can be purchased separately","Links kunnen afzonderlijk worden gekocht"
"List","Lijst"
"Max. Downloads","Max. downloads"
"Message:","Bericht:"
"Move","Verplaats"
"Move to wishlist","Verplaats naar verlanglijst"
"My Downloadable Products","Downloads"
"Open Links in New Window","Links openen in nieuw venster"
"Order #","Ordernr."
"Order Item Status to Enable Downloads","Artikelstatus om downloads in te schakelen"
"Order id cannot be null","Bestelling-ID kan niet null zijn"
"Order item id cannot be null","Product-ID van bestelling kan niet null zijn"
"Ordered","Besteld"
"Out of stock","Niet op voorraad"
"Pending","In afwachting"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Meld u aan om uw product te downloaden of aankoop <a href=""%s"">%s</a>."
"Please log in to download your product.","Log in a.u.b. om uw product te downloaden."
"Please set resource file and link type.","Voer bestand en type in"
"Please specify product link(s).","Geef productlink(s) op."
"Price","Prijs"
"Product downloadable links","Product downloadbare links"
"Qty","Aantal"
"Refunded","Teruggestort"
"Remaining Downloads","Resterende downloads"
"Remove","Verwijder"
"Remove Item","Product verwijderen"
"Remove links and samples from downloadable product","Verwijder links en voorbeelden van downloadable product"
"Requested link does not exist.","Aangevraagde link bestaat niet."
"Retrieve links and samples list from downloadable product","Haal links en voorbeeldenlijst op van downloadable product"
"SKU","Art.nr."
"Sample","demo"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"Shareable","Deelbaar"
"Shipped","Verzonden"
"Sorry, there was an error getting requested content. Please contact the store owner.","Er ging iets fout bij het ophalen van de gegevens, neem contact op met de shop eigenaar."
"Sort Order","Sorteervolgorde"
"Start Download","Start het downloaden"
"Status","status"
"Subtotal","Subtotaal"
"The file does not exist.","Het bestand bestaat niet."
"The link has expired.","Deze link is verlopen"
"The link is not available.","Deze link is niet beschikbaar"
"There are files that were selected but not uploaded yet. Please upload or remove them first","Er zijn bestanden geselecteerd die nog niet zijn geüpload. Upload deze alstublieft of verwijder ze eerst."
"Title","Titel"
"To:","Aan:"
"U","U"
"URL:","URL:"
"Unlimited","Onbeperkt"
"Update","Bijwerken"
"Use Content-Disposition","Gebruik Content-Disposition"
"Use Default Value","Gebruik standaard waarde"
"View Order","Bestelling bekijken"
"What's this?","Wat is dit?"
"You have not purchased any downloadable products yet.","U hebt nog geen producten besteld die u kunt downloaden."
"attachment","bijlage"
"download","downloaden"
"inline","inline"
"sample","voorbeeld"
