"%d product(s) were updated","%d product(s) were updated"
"%s (Default Template from Locale)","%s (Standardvorlage aus dem Gebiet)"
"%s cache type(s) disabled.","%s Cache-Typ(en) deaktiviert."
"%s cache type(s) enabled.","%s Cache-Typ(en) aktiviert."
"%s cache type(s) refreshed.","%s Cache-Typ(en) aktualisiert."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Für US-Staatsnamen mit 2 Buchstaben)"
"(If left empty will be auto-generated)","(Wenn leer gelassen wird, wird automatisch generiert)"
"(Leave empty for first spreadsheet)","(Leer lassen für die erste Tabelle)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkte werden zu diesem Shop hinzugefügt/aktualisiert, wenn die Spalte ""Shop"" leer ist oder in der Importdatei fehlt.)"
"(Starting with)","(Beginnend mit)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Wenn 'Nein', werden nur zugeordnete Felder importiert. Verwenden Sie bei der Zuordnung 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Sie müssen das php memory_limit erhöhen, bevor Sie diesen Wert ändern)"
"(\\t for tab)","(\\t für Tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Wenn die Indizierung läuft, wird sie beendet und ein neuer Indizierungsprozess wird gestartet."
"* Required Fields","* Pflichtfelder"
"-- Not Selected --","-- Nicht ausgewählt --"
"-- Please Select --","-- Bitte wählen --"
"-- Please select --","-- Bitte wählen --"
"--Please Select--","--Bitte auswählen--"
"-- Please Select a Category --","-- Bitte wählen Sie eine Kategorie --"
"-- Please Select Billing Agreement--","-- Bitte Zahlungsvereinbarung auswählen --"
"1 Hour","1 Stunde"
"2 Hours","2 Stunden"
"2FA verification code:","2FA verification code:"
"2FA verification code is invalid.","2FA verification code is invalid."
"2YTD","2YTD"
"6 Hours","6 Stunden"
"12 Hours","12 Stunden"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Stunden"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Fehler</h1><p>Seite nicht gefunden.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> bittet um Zugriff auf Ihr Konto"
"Abandoned Carts","Verlassene Warenkörbe"
"Access Denied","Zugriff verweigert"
"Access denied","Zugriff verweigert"
"Access denied.","Zugriff verweigert."
"Account Created in:","Konto erstellt in:"
"Account Created on (%s):","Konto erstellt am (%s):"
"Account Created on:","Konto erstellt am:"
"Account Information","Kontoinformationen"
"Account Status","Kontostatus"
"Account status","Kontostatus"
"Action","Aktion"
"Actions","Aktionen"
"Actions XML","Aktionen XML"
"Active","Aktiv"
"Add","Neu"
"Add after","Hinzufügen nach"
"Add Exception","Ausnahme hinzufügen"
"Add Field Mapping","Feldzuordnung hinzufügen"
"Add Field with URL:","Feld mit URL hinzufügen:"
"Additional Cache Management","Zusätzliche Cache-Verwaltung"
"Add New","Neu"
"Add New Block","Neuen Block hinzufügen"
"Add New Image","Neues Bild"
"Add New Profile","Neues Profil hinzufügen"
"Add New Role","Neue Rolle hinzufügen"
"Add New Template","Neue Vorlage hinzufügen"
"Add New URL Rewrite","Neuen URL-Rewrite hinzufügen"
"Add New User","Neuer Benutzer"
"Add New Variable","Neue Variable hinzufügen"
"Add new variable","Neue Variable hinzufügen"
"Add Products","Produkte hinzufügen"
"Address Type:","Adresstyp:"
