"# of Use","# Benutzen"
"%1$s incl tax.","%1$s inkl. Steuer."
"%s - %s","%s - %s"
"%s Item(s)","%s Eintrag(e)"
"%s and above","%s und höher"
"%s-%s of %s","%s-%s von %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiere Daten von: %s)"
"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte wählen --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Standardmäßig 86400, wenn nicht gesetzt. Um sofort zu aktualisieren, löschen Sie den HTML-Ausgabe-Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warnung!</strong> MAP standardmäßig anwenden wird alle Artikelpreise im Frontend ausblenden."
"A group with the same name already exists.","Eine Gruppe mit dem gleichen Namen existiert bereits."
"A name is required","Ein Name ist erforderlich"
"A product type is not defined for the indexer.","Ein Produkttyp ist für den Indexer nicht definiert."
"ALL GROUPS","ALLE GRUPPE"
"AM","MT"
"Action","Aktion"
"Actual Price","Aktueller Preis"
"Add","Neu"
"Add Attribute","Attribut hinzufügen"
"Add Design Change","Designänderung hinzufügen"
"Add Group","Neue Gruppe"
"Add Group Price","Gruppenpreis hinzufügen"
"Add New","Neu"
"Add New Attribute","Neues Attribut hinzufügen"
"Add New Attribute Set","Neue Attributgruppe hinzufügen"
"Add New Group","Neue Gruppe"
"Add New Images","Neue Bilder hinzufügen"
"Add New Option","Neue Option hinzufügen"
"Add New Row","Neue Zeile hinzufügen"
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"Add New Set","Neues Set"
"Add Product","Neuer Artikel"
"Add Product To Websites","Produkt zu Webseiten hinzufügen"
"Add Root Category","Hauptkategorie hinzufügen"
"Add Subcategory","Unterkategorie hinzufügen"
"Add Tax","Steuer hinzufügen"
"Add Tier","Neue Stufe"
"Add attribute into attribute set","Attribut zu Attributset hinzufügen"
"Add group into attribute set","Gruppe zu Attributset hinzufügen"
"Add new custom option into product","Neue benutzerdefinierte Option zu Produkt hinzufügen"
"Add new values into custom option","Neue Werte zur benutzerdefinierten Option hinzufügen"
"Add option","Option hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Zum Vergleich hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Additional Information","Zusätzliche Informationen"
"Alert Urls","Alarm-Urls"
"All","Alle"
"All Product Types","Alle Produkttypen"
"All Websites","Alle Webseiten"
"All products","Alle Produkte"
"All products - recently added products, New products - products marked as new","Alle Produkte - kürzlich hinzugefügte Produkte, neue Produkte - Produkte als neu markiert"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle Produkte dieses Sets werden gelöscht! Sind Sie sicher, dass Sie dieses Attributset löschen möchten?"
"Allow All Products per Page","Alle Produkte pro Seite erlauben"
"Allow Dynamic Media URLs in Products and Categories","Erlaube dynamische Medien-URLs in Produkten und Kategorien"
"Allow HTML Tags on Frontend","HTML-Tags im Frontend erlauben"
"Allowed File Extensions","Erlaubte Dateiendungen"
"Allowed file extensions to upload","Erlaubte Dateiendungen zum Hochladen"
"Amount","Betrag"
"An error occurred while adding products to websites.","Beim Hinzufügen von Produkten zu Webseiten ist ein Fehler aufgetreten."
"An error occurred while clearing comparison list.","Beim Löschen der Vergleichsliste ist ein Fehler aufgetreten."
"An error occurred while deleting this review.","Beim Löschen dieser Bewertung ist ein Fehler aufgetreten."
"An error occurred while removing products from websites.","Beim Löschen der Produkte von Webseiten ist ein Fehler aufgetreten."
"An error occurred while saving the URL rewrite","Fehler beim Speichern des URL-Rewrite"
"An error occurred while saving the attribute set.","Beim Speichern des Attributsatzes ist ein Fehler aufgetreten."
"An error occurred while saving the collection, aborting. Error message: %s","Beim Speichern der Sammlung ist ein Fehler aufgetreten. Fehlermeldung: %s"
"An error occurred while saving the product. ","Beim Speichern des Produkts ist ein Fehler aufgetreten. "
"An error occurred while saving the search query.","Beim Speichern der Suchanfrage ist ein Fehler aufgetreten."
"An error occurred while saving this group.","Beim Speichern dieser Gruppe ist ein Fehler aufgetreten."
"An error occurred while saving this review.","Beim Speichern dieser Bewertung ist ein Fehler aufgetreten."
"An error occurred while trying to delete the category.","Beim Versuch, die Kategorie zu löschen, ist ein Fehler aufgetreten."
"An error occurred while updating the product(s) attributes.","Beim Aktualisieren der Produktattribute ist ein Fehler aufgetreten."
"An error occurred while updating the product(s) status.","Beim Aktualisieren des Produkt(s) ist ein Fehler aufgetreten."
"An invalid group ID is specified, skipping the record.","Eine ungültige Gruppen-ID wurde angegeben, Eintrag wird übersprungen."
"An invalid option ID is specified for %s (%s), skipping the record.","Eine ungültige Options-ID wurde für %s (%s) angegeben, der Datensatz wird übersprungen."
"An invalid store was specified.","Ein ungültiger Store wurde angegeben."
"Anchor Custom Text","Eigenen Anker Text"
"Anchor Custom Title","Anker-Titel"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Nur für Katalogprodukte und Kategorien anwendbar. Jeder Medieninhalt wird als statische URL in den Editor eingefügt. Es wird nicht aktualisiert, wenn sich die Basis-URL der Systemkonfiguration ändert."
"Apply MAP (Default Value)","MAP anwenden (Standardwert)"
"Apply To","Anwenden auf"
"Approved","Genehmigt"
"Are you sure you want to delete this category?","Sind Sie sicher, dass Sie diese Kategorie löschen möchten?"
"Are you sure you would like to remove all products from your comparison?","Sind Sie sicher, dass Sie alle Produkte aus Ihrem Vergleich entfernen möchten?"
"Are you sure you would like to remove this item from the compare products?","Sind Sie sicher, dass Sie diesen Artikel aus den Vergleichsprodukten entfernen möchten?"
"Are you sure?","Bist du sicher?"
"As low as:","So niedrig als:"
"Assign","Zuweisen"
"Assign product link","Produktlink zuweisen"
"Assign product to category","Produkt der Kategorie zuweisen"
"Assigned Products","Zugewiesene Produkte"
"Associated Products","Verknüpfte Produkte"
"Attrib. Set Name","Attrib. Name setzen"
"Attribute ""%s"" is invalid.","Attribut ""%s"" ist ungültig."
"Attribute ""%s"" is required.","Attribut ""%s"" ist erforderlich."
"Attribute Information","Attributinformationen"
"Attribute Model","Attributmodell"
"Attribute Name:","Attributname:"
"Attribute Set","Attribut-Set"
"Attribute Sets","Attribut-Sets"
"Attribute add","Attribut hinzufügen"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Attributcode ist ungültig. Bitte verwenden Sie nur Buchstaben (a-z), Zahlen (0-9) oder Unterstrich (_) in diesem Feld. Das erste Zeichen sollte ein Buchstabe sein. Verwenden Sie nicht ""Event"" für einen Attribut-Code."
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use event"" for an attribute code.""","Attributcode ist ungültig. Bitte verwenden Sie nur Buchstaben (a-z), Zahlen (0-9) oder Unterstrich (_) in diesem Feld. Das erste Zeichen sollte ein Buchstabe sein. Verwende Event nicht für einen Attribut-Code."""
"Attribute group with the \"/name/\" name already exists","Attributgruppe mit dem Namen \"/name/\" existiert bereits"
"Attribute remove","Attribut entfernen"
"Attribute with the same code already exists","Attribut mit dem gleichen Code existiert bereits"
"Attributes","Attribute"
"Attrribute names can be specified per store.","Attributnamen können pro Shop angegeben werden."
"Autogenerate","Automatisch generieren"
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Backend Model","Backend-Modell"
"Backend Table","Backend-Tabelle"
"Backend Table Title","Backend-Tabellentitel"
"Backorders","Nachbestellungen"
"Base Image Width","Breite des Basisbildes"
"Based On","Basierend auf"
"Before Order Confirmation","Vor der Auftragsbestätigung"
"Best Value","Bester Wert"
"Block after Info Column","Block nach Info-Spalte"
"Bottom Block Options Wrapper","Untere Blockoptionen Wrapper"
"Bottom/Left","Unten/Links"
"Bottom/Right","Unten/Rechts"
"Browse By","Durchsuchen nach"
"Bundle Items","Bündelartikel"
"Buy %1$s","Kaufe %1$s"
"Buy %1$s for","Kaufe %1$s für"
"Buy %1$s for %2$s","Kaufe %1$s für %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufe %1$s für %2$s (%3$s inkl. Steuern) jeweils"
"Buy %1$s for %2$s each","Kaufe %1$s für %2$s pro"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (Sekunden)"
"Cache refresh needed.","Cache-Aktualisierung erforderlich."
"Can be Divided into Multiple Boxes for Shipping","Kann in mehrere Boxen für den Versand aufgeteilt werden"
"Can be used only with catalog input type Dropdown","Kann nur mit Katalogeingabe-Typ Dropdown verwendet werden"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kann nur mit Katalogeingabe-Typ Dropdown, Mehrfachauswahl und Preis verwendet werden"
"Can't create image.","Kann kein Bild erstellen."
"Cancel","Abbrechen"
"Cannot create image.","Bild kann nicht erstellt werden."
"Cannot create writeable directory '%s'.","Schreibbares Verzeichnis '%s ' kann nicht erstellt werden."
"Cart Item Attribute","Warenkorb-Artikelattribut"
"Catalog","Katalog"
"Catalog Category (Anchor)","Katalogkategorie (Anker)"
"Catalog Category (Non-Anchor)","Katalogkategorie (Non-Anker)"
"Catalog Category (Without Subcategories)","Katalog Kategorie (ohne Unterkategorien)"
"Catalog Category Link","Katalogkategorie-Link"
"Catalog New Products List","Katalog Neue Artikelliste"
"Catalog Price Scope","Katalogpreisbereich"
"Catalog Product Compare List","Katalogartikelvergleichsliste"
"Catalog Product Email to a Friend","Katalogprodukt E-Mail an einen Freund"
"Catalog Product Image Gallery Popup","Katalogprodukt-Bildergalerie Popup"
"Catalog Product Link","Katalogprodukt-Link"
"Catalog Product View (Any)","Katalogartikelansicht (keine)"
"Catalog Product View (Configurable)","Katalogartikelansicht (konfigurierbar)"
"Catalog Product View (Grouped)","Katalogartikelansicht (Grouped)"
"Catalog Product View (Simple)","Katalogartikelansicht (Einfach)"
