"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Sind Sie sicher, dass Sie den ausgewählten Cron-Job(s) deaktivieren möchten?"
"At %s","Bei %s"
"Callback","Callback"
"Clear History","Verlauf löschen"
"Close","Schließen"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (geplante Aufgaben) - alle Zeiten sind in Minuten"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron scheint nicht ausgeführt zu werden. In der letzten Stunde wurden keine Aufträge ausgeführt. Bitte stellen Sie sicher, dass cron auf Ihrem Server konfiguriert ist."
"Cron history has been cleared. %d record(s) deleted.","Cron-Verlauf wurde gelöscht. %d Einträge(n) gelöscht."
"Cron job ""%s"" has been disabled.","Cronjob ""%s"" wurde deaktiviert."
"Cron job ""%s"" has been enabled.","Cronjob ""%s"" wurde aktiviert."
"Cron Jobs","Cron Jobs"
"Daily","Täglich"
"Daily at %s","Täglich um %s"
"day %s","Tag %s"
"Disable","Deaktivieren"
"Disabled","Deaktiviert"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"Every %d hours at minute %d","Alle %d Stunden in Minute %d"
"Every %d minutes","Alle %d Minuten"
"Every cron run","Jeder Cron läuft"
"Every hour","Stündlich"
"Every minute","Jede Minute"
"Execution History","Ausführungshistorie"
"Failure History Lifetime","Fehler-Historie Laufzeit"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Für korrekte URLs, die während der cron-Ausführung generiert wurden, stellen Sie bitte sicher, dass Web > Sichere und unsichere Basis-URLs explizit gesetzt sind."
"Generate Schedules Every","Generiere Schedules alle"
"History","Verlauf"
"History Cleanup Every","Verlauf bereinigen alle"
"hour %s","Stunde %s"
"Hourly","Stunden"
"Invalid callback: %s::%s does not exist","Ungültiger Callback: %s::%s existiert nicht"
"Invalid model/method definition, expecting ""model/class::method"".","Ungültige Modell/Methodendefinition, erwarte ""model/class::method""."
"Job Code","Job-Code"
"Job did not complete: the process died or exceeded the maximum running time (%s minutes).","Job nicht abgeschlossen: Der Prozess ist gestorben oder die maximale Laufzeit überschritten (%s Minuten)."
"Last Run","Letzter Lauf"
"Last Status","Letzter Status"
"Manually reset via cron:unlock: job never completed.","Manuelles Zurücksetzen via cron:unlock: Job nie abgeschlossen."
"Mark as Error if Still Running After","Als Fehler markieren, wenn immer noch läuft nach"
"minute %s","Minute %s"
"Missed","Verpasst"
"Missed if Not Run Within","Verpasst, wenn nicht innerhalb ausgeführt"
"month %s","Monat %s"
"Monthly","Monatlich"
"Monthly on day %d at %s","Monatlich %d um %s"
"Next Run","Nächster Lauf"
"No callbacks found","Keine Callbacks gefunden"
"No execution history found.","Kein Ausführungsverlauf gefunden."
"No job code specified.","Kein Job-Code angegeben."
"No schedule ID specified.","Keine Zeitplan-ID angegeben."
"Not run","Nicht ausgeführt"
"Not scheduled","Nicht geplant"
"Pending","Ausstehend"
"Please select cron job(s).","Bitte wähle Cron-Job(s) aus."
"Request failed","Anfrage fehlgeschlagen"
"Run Cron Job","Cron-Job ausführen"
"Running","Laufend"
"Running...","Läuft..."
"Run Now","Jetzt ausführen"
"Schedule","Zeitplan"
"Schedule Ahead for","Planen voraus für"
"Schedule not found.","Zeitplan nicht gefunden."
"Stale jobs whose worker died (OOM, timeout, SIGKILL) are flipped from ""running"" to ""error"" after this many minutes. Keep this above the runtime of your slowest job, as any job still running past this threshold is marked as an error. Set to 0 to disable.","Alte Jobs, deren Arbeiter gestorben sind (OOM, Timeout, SIGKILL) werden nach so vielen Minuten von ""läuft"" auf ""Fehler"" gedreht. Halten Sie dies über der Laufzeit Ihres langsamsten Jobs, da jeder Job, der noch hinter dieser Schwelle läuft, als Fehler markiert ist. Auf 0 setzen um zu deaktivieren."
"Success","Erfolg"
"Success History Lifetime","Erfolgsverlauf Lebenszeit"
"Timed out","Timeout"
"Too late for the schedule.","Zu spät für den Zeitplan."
"Total of %d cron job(s) were disabled.","Insgesamt wurden %d cron Job(s) deaktiviert."
"Total of %d cron job(s) were enabled.","%d cron Job(s) wurden aktiviert."
"Unable to save the cron expression.","Der cron-Ausdruck konnte nicht gespeichert werden."
"Unknown cron job: %s","Unbekannter Cron-Job: %s"
"weekday %s","wochentag %s"
"Weekly","Wöchentlich"
"Weekly on %s at %s","Wöchentlich am %s um %s"
