"(Make sure you keep it in a safe place.)","(Bewahren Sie ihn an einem sicheren Platz auf.)"
"(Optional. Leave blank for no prefix)","(Optional - freilassen, um ohne Präfix zu installieren)"
"(ver. %s)","(Version %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Zusätzlicher Pfad nach der Basis-URL, um auf Ihren Administrationsbereich zuzugreifen (z.B. backend, control etc.)."
"Admin Path","Admin Pfad"
"After successfull installation please click the button below.","Nach erfolgreicher Installation klicken Sie bitte den folgenden Button."
"All packages were installed, click 'OK' to continue with installation.","Alle Pakete wurden installiert, klicken Sie auf 'OK', um mit der Installation fortzufahren."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativ können Sie auch die Methode 'Manuelle Downloads und Upgrades' versuchen."
"Base URL","Basis-URL"
"Before you continue to your store, please make a note of your encryption key (Maho uses it to encrypt passwords, credit cards and more).","Bevor Sie zu Ihrem Laden zurückkehren, notieren Sie bitte Ihren Verschlüsselungsschlüssel (Maho verwendet ihn, um Passwörter, Kreditkarten und mehr zu verschlüsseln)."
"Check out our","Lesen Sie hierzu unsere"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Aktivieren Sie diese Option, falls bei der Überprüfung der sicheren Verbindung Probleme auftraten. Zum Beispiel wenn eine HTTP-Authentifikation notwendig sein sollte."
"Check this box only if it is not possible to automatically validate the Base URL.","Aktivieren Sie diese Option nur, wenn die Basis-URL nicht automatisch überprüft werden kann."
"Choose this if you would like to test frontend and backend functionality.","Wählen Sie diese Option, wenn Sie die Shop- und Administrationsoberfläche testen möchten."
"Configuration","Konfiguration"
"Confirm Password","Passwort bestätigen"
"Connection","Verbindung"
"Continue","Fortsetzen"
"Continue After Manual Download","Nach manuellem Download fortfahren"
"Continue Full Download / SVN Installation","Fortfahren mit vollständiger Installation/SVN Installation"
"Create Admin Account","Administratorkonto anlegen"
"Currently this is the most stable state available for Maho packages.","Aktuell ist dies der stabilste verfügbare Zustand für Maho-Pakete."
"Database","Datenbank"
"Database Connection","Datenbankverbindung"
"Database Name","Datenbankname"
"Database Name cannot be empty.","Datenbankname darf nicht leer sein."
"Database Type","Datenbank Art"
"Database connection error.","Datenbank Verbindungsfehler."
"Database host","Datenbankserver"
"Database server does not support the InnoDB storage engine.","Datenbankserver unterstützt kein InnoDB."
"Database user name","Datenbank-Benutzername"
"Database user password","Datenbank-Benutzerpasswort"
"Default Currency","Standardwährung"
"Download","Herunterladen"
"Download Maho Core Modules and Updates","Laden Sie Maho-Kernmodule und Aktualisierungen herunter"
"Downloading and installing Maho, please wait...","Herunterladen und Installieren von Maho, bitte warten..."
"Email","E-Mail"
"Email Address","E-Mailadresse"
"Enable Charts","Charts aktivieren"
"Enable this option if you want the charts to be displayed on Dashboard.","Aktivieren Sie diese Option, wenn Sie eine grafische Auswertung der Verkaufszahlen auf Ihrer Übersichtsseite anzeigen möchten. Achtung: Es werden zur Erstellung Daten an Google-Dienste gesendet."
"Enable this option only if you have SSL available.","Aktivieren Sie diese Option nur, wenn Sie über ein gültiges SSL Zertifikat verfügen."
"Encryption Key","Verschlüsselungsschlüssel"
"File System","Dateisystem"
"First Name","Vorname"
"Full Download / SVN Installation","Vollständige Installation/SVN Installation"
"Get ready to experience Open-Source eCommerce Evolved.","Machen Sie sich bereit, Open-Source eCommerce zu erleben."
"Go to Backend","Zum AdminPanel"
"Go to Frontend","Zum Shop"
"Having trouble installing Maho?","Haben Sie Schwierigkeiten bei der Installation von Maho?"
"Help Us to Keep Maho Healthy","Helfen Sie uns, Maho gesund zu halten"
"Host","Server"
"I agree to the above terms and conditions.","Ich akzeptiere die Bedingungen."
"If you are a developer and would like to have the latest public updates, choose this option.","Sind Sie Entwickler und möchten stets die aktuellsten, öffentlichen Updates erhalten, aktivieren Sie bitte diese Option."
