"Account Number","Kundennummer"
"Container ID","Container-ID"
"Enable","Aktivieren"
"Enable GA4 Debug Real Time view for Development IP.","GA4 Debug Echtzeit-Ansicht für Entwicklungs-IP aktivieren."
"Enable GA4 User_id tracking for logged in customers.","GA4 User_id Tracking für angemeldete Kunden aktivieren."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Google Tag Manager"
"Meta Pixel ID","Meta Pixel ID"
"Type","Typ"
"User ID tracking","Benutzer-ID Tracking"
