"* Required Fields","* Pflichtfelder"
"-- No API Access --","-- Kein API-Zugriff --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> bittet um Zugriff auf Ihr Konto"
"Admin","Admin"
"Admin API Access","Admin API-Zugriff"
"After authorization application will have access to you account.","Nach der Autorisierung wird die Anwendung Zugriff auf Ihr Konto haben."
"An error occurred.","Ein Fehler ist aufgetreten."
"An error occurred. Your authorization request is invalid.","Ein Fehler ist aufgetreten. Ihre Autorisierungsanfrage ist ungültig."
"An error occurred on confirm authorize.","Beim Bestätigen der Autorisierung ist ein Fehler aufgetreten."
"An error occurred on delete action.","Beim Löschen ist ein Fehler aufgetreten."
"An error occurred on reject authorize.","Bei der Autorisierung ist ein Fehler aufgetreten."
"An error occurred on saving consumer data.","Beim Speichern der Verbraucherdaten ist ein Fehler aufgetreten."
"An error occurred on update revoke status.","Beim Aktualisieren ist ein Fehler aufgetreten."
"An error occurred while deleting the consumer.","Beim Löschen des Verbrauchers ist ein Fehler aufgetreten."
"API Role","API-Rolle"
"Application Name","Anwendungsname"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Zuweisen einer API-Rolle, um Berechtigungen zu erteilen. Verwalten Sie Rollen unter System > API > Rollen."
"Authorization confirmed","Autorisierung bestätigt"
"Authorization confirmed.","Autorisierung bestätigt."
"Authorize","Autorisieren"
"Authorize application","Anwendung autorisieren"
"Authorized Tokens","Autorisierte Token"
"Callback URL","Callback URL"
"Cleanup Probability","Bereinigungswahrscheinlichkeit"
"Cleanup Settings","Bereinigungseinstellungen"
"Close","Schließen"
"Confirmation Of Authorization","Bestätigung der Autorisierung"
"Confirm token authorization for admin","Token Autorisierung für Admin bestätigen"
"Confirm token authorization Pop Up for admin","Token Autorisierung für Admin bestätigen"
"Consumer Information","Verbraucherinformation"
"Consumer Name","Verbrauchername"
"Consumers","Verbraucher"
"Created At","Erstellt am"
"Current Admin Password","Aktuelles Admin-Passwort"
"Customer","Kunde"
"Delete","Löschen"
"deleted","gelöscht"
"Disable","Deaktivieren"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Consumer","Kunde bearbeiten"
"Email","E-Mail"
"Email Address","E-Mail-Adresse"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"enabled","aktiviert"
"Entry with ID #%s not found.","Eintrag mit der ID #%s nicht gefunden."
"Expiration Period","Ablaufzeit"
"Expires","Gültig bis"
"Expires At","Gültig bis"
"Give the verifier code to application administrator","Den Bestätigungscode an den Anwendungsadministrator vergeben"
"ID","ID"
"Invalid ID parameter.","Ungültiger ID-Parameter."
"Key","Schlüssel"
"Last Used","Zuletzt verwendet"
"Leave empty for no expiration","Leer lassen für kein Verfall"
"Log In","Anmelden"
"Login","Anmelden"
"Log in as admin","Als Admin anmelden"
"Log in to use <strong>%s</strong>","Anmelden, um <strong>%s</strong> zu verwenden"
"My Applications","Meine Anwendungen"
"My Apps","Meine Apps"
"Name","Name"
"New Consumer","Neuer Verbraucher"
"OAuth","OAuh"
"OAuth Admin My Apps","OAuth Admin Meine Apps"
"OAuth authorization for admin","OAuth Autorisierung für Admin"
"OAuth authorization simple for admin","OAuth Authorisierung einfach für Admin"
"OAuth Authorized Tokens","OAuth autorisierte Token"
"OAuth Consumers","OAuth-Verbraucher"
"Password","Passwort"
"Permissions","Berechtigungen"
"Please login to proceed authorization.","Bitte melden Sie sich an, um die Autorisierung fortzusetzen."
"Please select needed row(s).","Bitte wählen Sie benötigte Zeile(n)."
"Please select revoke status.","Bitte wählen Sie den Widerrufsstatus."
"Protocol","Protocol"
"Reject","Ablehnen"
"Rejected Callback URL","Abgelehnte Callback-URL"
"Rejection Of Authorization","Autorisierung verweigern"
"Reject token authorization for admin","Token Autorisierung für Admin ablehnen"
"Reject token authorization Pop Up for admin","Token Autorisierung ablehnen PopUp für Admin"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Rollenname"
"Save","Speichern"
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Secret","Geheimnis"
"Selected entries enabled.","Ausgewählte Einträge aktiviert."
"Selected entries has been deleted.","Ausgewählte Einträge wurden gelöscht."
"Selected entries revoked.","Ausgewählte Einträge widerrufen."
"Select stores this consumer can access. Leave empty for all stores.","Shops auswählen, auf die dieser Kunde zugreifen kann. Leer lassen für alle Shops."
"Status","Status"
"Store Access","Store-Zugriff"
"System","System"
"The application access request is rejected.","Die Zugriffsanfrage der Anwendung wurde abgelehnt."
"The consumer has been deleted.","Der Kunde wurde gelöscht."
"The consumer has been saved.","Der Kunde wurde gespeichert."
"Token Status Change","Token-Statusänderung"
"Token Status Change Email Template","E-Mail Vorlage zur Änderung des Token-Status"
"Unable to find a consumer.","Kann keinen Verbraucher finden."
"User ID","Benutzer-ID"
"User Name","Benutzername"
"User Type","Benutzertyp"
"Verifier code: %s","Überprüfungscode: %s"
