"Action","Aktion"
"Active","Aktiv"
"Add New Rule","Neue Regel"
"Apply rule to source products matching the following conditions (leave blank for all products)","Apply rule to source products matching the following conditions (leave blank for all products)"
"Are you sure?","Sind Sie sicher?"
"Catalog","Katalog"
"Change status","Status ändern"
"Conditions","Bedingungen"
"Conditions Combination","Bedingungs-Kombination"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am)."
"Cron Schedule","Cron Schedule"
"Cross-sell Products","Cross-sell Products"
"Delete","Löschen"
"Delete Rule","Regel löschen"
"Description","Beschreibung"
"Disabled","Deaktiviert"
"does not match source","does not match source"
"Edit","Bearbeiten"
"Edit Rule '%s'","Edit Rule '%s'"
"Enabled","Aktiviert"
"From Date","From Date"
"ID","Id"
"Inactive","Inaktiv"
"Link to target products matching the following conditions (leave blank for all products)","Link to target products matching the following conditions (leave blank for all products)"
"Link Type","Link Type"
"Lower number = higher priority","Lower number = higher priority"
"matches source","matches source"
"Maximum Links","Maximum Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximum number of linked products per source product (leave empty for unlimited)"
"Name: A-Z","Name: A-Z"
"Name: Z-A","Name: Z-A"
"Newest First","Newest First"
"New Rule","Neue Regel"
"Oldest First","Oldest First"
"Please select rule(s).","Please select rule(s)."
"Price: High to Low","Price: High to Low"
"Price: Low to High","Price: Low to High"
"Priority","Priorität"
"Product Attribute","Artikelattribut"
"Product Link Rules","Product Link Rules"
"Product Relationship Rules","Product Relationship Rules"
"Random (Default)","Random (Default)"
"Related Products","Verwandte Produkte"
"Rule Information","Regelinformationen"
"Rule Name","Regelname"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Save Rule","Regel speichern"
"Sort Order","Sortierreihenfolge"
"Source Product Conditions","Source Product Conditions"
"Source products matching %s of these conditions are %s:","Source products matching %s of these conditions are %s:"
"Status","Status"
"Target Conditions","Target Conditions"
"Target product attribute will be compared to source product","Target product attribute will be compared to source product"
"Target Product Conditions","Target Product Conditions"
"Target products matching %s of these conditions are %s:","Target products matching %s of these conditions are %s:"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"To Date","To Date"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Up-sell Products","Up-sell Products"
