"Action","Aktion"
"Active","Aktiv"
"Add New Rule","Neue Regel hinzufügen"
"Apply rule to source products matching the following conditions (leave blank for all products)","Regel auf Produkte anwenden, die den folgenden Bedingungen entsprechen (leer lassen für alle Produkte)"
"Are you sure?","Bist du sicher?"
"Catalog","Katalog"
"Change status","Status ändern"
"Conditions","Bedingungen"
"Conditions Combination","Bedingungskombination"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron-Ausdruck für die Regelverarbeitung. Standard: <strong>0 3 * * * *</strong> (täglich um 3am)."
"Cron Schedule","Cron-Zeitplan"
"Cross-sell Products","Cross-Sell Produkte"
"Delete","Löschen"
"Delete Rule","Regel löschen"
"Description","Beschreibung"
"Disabled","Deaktiviert"
"does not match source","stimmt nicht mit Quelle überein"
"Edit","Bearbeiten"
"Edit Rule '%s'","Regel '%s ' bearbeiten"
"Enabled","Aktiviert"
"From Date","Von Datum"
"ID","ID"
"Inactive","Inaktiv"
"Link to target products matching the following conditions (leave blank for all products)","Link zu den Zielprodukten, die den folgenden Bedingungen entsprechen (leer lassen für alle Produkte)"
"Link Type","Link Type"
"Lower number = higher priority","Untere Zahl = höhere Priorität"
"matches source","trefft Quelle"
"Maximum Links","Maximale Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximale Anzahl der verknüpften Produkte pro Produkt (leer lassen für unbegrenzt)"
"Name: A-Z","Name: A-Z"
"Name: Z-A","Name: Z-A"
"Newest First","Neueste zuerst"
"New Rule","Neue Regel"
"Oldest First","Älteste zuerst"
"Please select rule(s).","Bitte Regel(n) auswählen."
"Price: High to Low","Preis: Hoch zu niedrig"
"Price: Low to High","Preis: Niedrig zu hoch"
"Priority","Priorität"
"Product Attribute","Produkt-Attribut"
"Product Link Rules","Artikel-Link-Regeln"
"Product Relationship Rules","Produkt-Beziehungsregeln"
"Random (Default)","Zufällig (Standard)"
"Related Products","Verwandte Produkte"
"Rule Information","Regelinformationen"
"Rule Name","Regelname"
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Save Rule","Regel speichern"
"Sort Order","Sortierung"
"Source Product Conditions","Ausgangsproduktbedingungen"
"Source products matching %s of these conditions are %s:","Quellprodukte, die %s dieser Bedingungen entsprechen, sind %s:"
"Status","Status"
"Target Conditions","Zielkonditionen"
"Target product attribute will be compared to source product","Das Zielprodukt-Attribut wird mit dem Ausgangsprodukt verglichen"
"Target Product Conditions","Produktbedingungen des Ziels"
"Target products matching %s of these conditions are %s:","Zielprodukte, die %s dieser Bedingungen entsprechen, sind %s:"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"To Date","Bis Datum"
"Total of %d record(s) were deleted.","Insgesamt wurden %d Einträge(n) gelöscht."
"Total of %d record(s) were updated.","Gesamte %d Einträge(n) wurden aktualisiert."
"Up-sell Products","Verkaufs-Produkte"
