"%s and greater","%s und größer"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d Artikel(n)</strong> wurden mit folgenden Suchkriterien gefunden"
"Advanced Search","Erweiterte Suche"
"Advanced Search Form","Erweitertes Suchformular"
"Advanced Search Result","Erweiterte Suchergebnisse"
"All","Alle"
"Applies for ""Like"" search type only.","Gilt nur für ""Like""-Suchtyp."
"Apply Layered Navigation if Search Results are Less Than","Filternavigation anwenden, wenn Suchergebnisse geringer sind als"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Änderung der Attribut-Einstellung im Zusammenhang mit Suchindex ausführbar. Bitte führen Sie den Prozess <a href=""%s"">Suchindex neu aufbauen</a> aus."
"Autogenerated Site Map","Automatisch generierte Sitemap"
"Catalog Advanced Search","Katalog Erweiterte Suche"
"Catalog Search","Katalogsuche"
"Catalog Search Index","Katalog Suchindex"
"Don't see what you're looking for?","Nicht sehen, was Sie suchen?"
"Enter ""0"" to enable layered navigation for any number of results.","Geben Sie ""0"" ein, um die Layernavigation für eine beliebige Anzahl von Ergebnissen zu aktivieren."
"Go","Gehe"
"Go to Home Page","Zur Startseite"
"Grid","Raster"
"Home","Zuhause"
"List","Liste"
"Maximum Query Length","Maximale Abfragelänge"
"Maximum Query Words Count","Maximale Anzahl von Abfragewörtern"
"Maximum Search query length is %s. Your query was cut.","Maximale Suchlänge ist %s. Ihre Abfrage wurde zugeschnitten."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximale Wörteranzahl ist %1$s. In Ihrer Suchanfrage wurde der nächste Teil geschnitten: %2$s."
"Minimal Query Length","Minimale Abfragelänge"
"Minimum Search query length is %s","Die Mindestlänge der Suchabfrage ist %s"
"Modify your search","Suche ändern"
"No","Nein"
"No items were found using the following search criteria.","Es wurden keine Artikel mit den folgenden Suchkriterien gefunden."
"Please specify at least one search term.","Bitte geben Sie mindestens einen Suchbegriff an."
"Popular Search Terms","Beliebte Suchbegriffe"
"Quick Search Form","Schnellsuche Formular"
"Rebuild Catalog product fulltext search index","Katalog Produkt Volltext-Suchindex neu erstellen"
"Relevance","Relevanz"
"Results","Ergebnisse"
"Search","Suchen"
"Search Settings","Sucheinstellungen"
"Search Terms","Suchbegriffe"
"Search Type","Suchtyp"
"Search entire store here...","Suche den gesamten Shop hier..."
"Search results for '%s'","Suchergebnisse für '%s'"
"Search results for: '%s'","Suchergebnisse für: '%s'"
"Search:","Suche:"
"Show Autocomplete Results Count","Anzahl der AutoVervollständigen-Ergebnisse anzeigen"
"Specified date is invalid.","Das angegebene Datum ist ungültig."
"Subscribe to Feed","Feed abonnieren"
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar."
"Yes","Ja"
"Your search returns no results.","Ihre Suche liefert keine Ergebnisse."
"up to %s","bis %s"
