"Access denied.","Access denied."
"Api Key confirmation must be same as Api Key.","Api Key confirmation must be same as Api Key."
"Api Key must be at least of %d characters.","Api Key must be at least of %d characters."
"Api Key must include both numeric and alphabetic characters.","Api Key must include both numeric and alphabetic characters."
"A user with the same user name or email already exists.","Υπάρχει ήδη ένας χρήστης με το ίδιο όνομα χρήστη ή email."
"Can not find webservice adapter.","Can not find webservice adapter."
"Client Session Timeout (sec.)","Client Session Timeout (sec.)"
"Default Response Charset","Προεπιλογμένη Απάντηση Σύνολοχαρακτήρων"
"Email","Email"
"Enable WSDL Cache","Enable WSDL Cache"
"First Name is required field.","First Name is required field."
"General Settings","Γενικές Ρυθμίσεις"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Last Name is required field.","Last Name is required field."
"Maho Core API","Maho Core API"
"Please enter a valid email.","Παρακαλώ εισάγετε ένα έγκυρο email."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Users"
"Unable to login.","Unable to login."
"User Name","Όνομα χρήστη"
"User Name is required field.","User Name is required field."
"Web Services","Web Services"
"WS-I Compliance","WS-I Compliance"
"Your account has been deactivated.","Your account has been deactivated."
