"* Required Fields","* Απαιτούμενα Πεδία"
"0 disables the limit.","0 απενεργοποιεί το όριο."
"<strong style=""color:red"">Warning!</strong> Enabling this feature may cause unwanted messages to be sent to people whose email addresses are being used abusively. Please make sure that you have implemented security measures before enabling (e.g. CAPTCHA, HoneySpam).","<strong style=""color:red"">Warning!</strong> Enabling this feature may cause unwanted messages to be sent to people whose email addresses are being used abusively. Please make sure that you have implemented security measures before enabling (e.g. CAPTCHA, HoneySpam)."
"Abuse Protection","Προστασία Κατάχρησης"
"Adds a hidden field that bots fill in, zero dependency, works everywhere.","Προσθέτει ένα κρυφό πεδίο που τα bots γεμίζουν, μηδενική εξάρτηση, λειτουργεί παντού."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Προσθέτει ένα αόρατο πεδίο παγίδας. Υποβολές που το γεμίζουν σιωπηλά πέφτουν ως κίνηση bot."
"Allow headless frontends to submit contact forms via the API.","Επιτρέψτε στα headless frontends να υποβάλουν φόρμες επικοινωνίας μέσω του API."
"API Submissions","Υποβολή API"
"Auto-Reply Emails per Recipient per Hour","Αυτόματη απάντηση Emails ανά παραλήπτη ανά ώρα"
"Auto Reply","Αυτόματη Απάντηση"
"Caps how many auto-reply emails a single address can receive per hour. The merchant notification is still sent. Defeats email-bombing of third parties. 0 disables the limit.","Caps πόσα μηνύματα αυτόματης απάντησης μπορεί να λάβει μία μόνο διεύθυνση ανά ώρα. Η ειδοποίηση εμπόρου εξακολουθεί να αποστέλλεται. Κερδίζει βομβαρδισμό ηλεκτρονικού ταχυδρομείου σε τρίτους. 0 απενεργοποιεί το όριο."
"Comment","Σχόλιο"
"Contact Form","Φόρμα Επικοινωνίας"
"Contact form (web + API)","Φόρμα επικοινωνίας (web + API)"
"Contact Form Auto Reply","Αυτόματη Απάντηση Φόρμας Επαφής"
"Contact Information","Στοιχεία Επικοινωνίας"
"Contacts","Επαφές"
"Contact Us","Επικοινωνήστε Μαζί Μας"
"Contact Us Form","Επικοινωνήστε Μαζί Μας"
"Email","E-mail"
"Email Options","Επιλογές Email"
"Email Sender","Αποστολέας Email"
"Email Template","Πρότυπο Email"
"Enable Auto Reply","Ενεργοποίηση Αυτόματης Απάντησης"
"Enable Contact API","Ενεργοποίηση API Επαφής"
"Enable Contact Us","Ενεργοποίηση Επικοινωνήστε Μαζί Μας"
"Enable Honeypot Field","Ενεργοποίηση Πεδίου Honeypot"
"Honeypot Field","Πεδίο Honeypot"
"Invalid Form Key. Please submit your request again.","Μη έγκυρο κλειδί φόρμας. Παρακαλώ υποβάλετε το αίτημά σας ξανά."
"Invisible background measures (honeypot, rate limits) that blunt spam and email-bombing without inconveniencing real customers. Do not set the limits so low that legitimate visitors are blocked.","Αόρατα μέτρα υποβάθρου (honeypot, όρια ρυθμού) που αμβλώνουν spam και βομβαρδισμό ηλεκτρονικού ταχυδρομείου χωρίς να ενοχλούν τους πραγματικούς πελάτες. Μην θέτετε τα όρια τόσο χαμηλά ώστε οι νόμιμοι επισκέπτες να αποκλείονται."
"Name","Όνομα"
"Per email address. Default 3 per hour. 0 to disable.","Ανά διεύθυνση email. Προεπιλογή 3 ανά ώρα. 0 για απενεργοποίηση."
"Send Emails To","Αποστολή Emails Σε"
"Settings for contact-form submissions made via the REST/GraphQL API (used by headless storefronts).","Ρυθμίσεις για τις υποβολές φόρμας επαφής που γίνονται μέσω του API REST/GraphQL (χρησιμοποιείται από τις απρόσωπες βιτρίνες)."
"Submissions per IP per Hour","Υποβολές ανά IP ανά Ώρα"
"Submit","Υποβολή"
"Telephone","Τηλέφωνο"
"Too many requests. Please wait a moment and try again.","Πάρα πολλά αιτήματα. Παρακαλώ περιμένετε ένα λεπτό και προσπαθήστε ξανά."
"Unable to submit your request. Please try again later","Δεν είναι δυνατή η υποβολή του αιτήματός σας. Παρακαλώ δοκιμάστε ξανά αργότερα"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Η ερώτησή σας υποβλήθηκε και θα απαντηθεί το συντομότερο δυνατό. Σας ευχαριστούμε που επικοινωνήσατε μαζί μας."
