" Copy"," Αντιγραφή"
"Action","Ενέργεια"
"Add New Template","Προσθήκη Νέου Πρότυπου"
"Add to Queue","Προσθήκη στην ουρά"
"Allow Guest Subscription","Επιτρέψτε Εγγραφή Επισκεπτών"
"An error occurred while saving your subscription.","Έγινε σφάλτο ενώ καταχώζετε την συνάπτηση σας."
"Are you sure that you want to delete this template?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτό το πρότυπο(template);"
"Are you sure that you want to strip all tags?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε όλες τις ετικέτες;"
"Back","Πίσω"
"Cancel","Ακύρωση"
"Cancelled","Ακυρώθηκε"
"Cannot mark as received subscriber.","Δεν μπορώ να σημειώσω ως παραλήπτη συνδρομητή."
"Confirmation Email Sender","Αποστολέας Email Επιβεβαίωσης"
"Confirmation Email Template","Προτύπου Email επιβεβαίωσης"
"Confirmation request has been sent.","Αίτηση επιβεβαίωσης έχει σταλεί."
"Convert to Plain Text","Μετατροπή σε απλό κείμενο"
"Create Newsletter Template","Δημιουργία προτύπου ενημερωτικού δελτίου"
"Customer","Πελάτης"
"Customer First Name","Όνομα πελάτη"
"Customer Last Name","Επώνυμο πελάτη"
"Customer Middle Name","Επώνυμο Πελάτη"
"Customer My Account Newsletter Subscriptions","Πελάτης Λογαριασμός Συνδρομές Νέα Ενημέρωση"
"Date Added","Ημερομηνίας Προσθήκης"
"Date Updated","Ημερομηνία που Ενημερώθηκε"
"Delete","Διαγραφή"
"Delete Selected Problems","Διαγραφή επιλεγμένων προβλημάτων"
"Delete Template","Διαγραφή προτύπου"
"Do you really want to cancel the queue?","Θέλετε πραγματικά να ακυρώσετε την ουρά;"
"Duplicate template code.","Διπλότυπο κώδικα προτύπου."
"Edit Newsletter","Επεξεργασία ενημερωτικού δελτίου"
"Edit Newsletter Template","Επεξεργασία προτύπου ενημερωτικού δελτίου"
"Edit Queue","Επεξεργασία Ουράς"
"Edit Template","Επεξεργασία προτύπου"
"Email","Εmail"
"Enable Form Key Validation","Ενεργοποίηση Ελέγχου Κλειδιού Φόρμας"
"Enter your email address","Εισάγετε την ηλεκτρονική σας διεύθυνση"
"Error Code","Κωδικός σφάλματος"
"Error Text","Κείμενο Σφάλματος"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Ακολουθήστε αυτό το σύνδεσμο για να διαγραφείτε <!--Αυτή η ετικέτα είναι για σύνδεσμο unsubscribe--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Επισκέπτης"
"ID","ID"
"Invalid queue selected.","Εσφαλμένη ουρά επιλέχθηκε."
"Invalid subscription ID.","Άκυρη ταυτότητα συνδρομής."
"Invalid subscription confirmation code.","Εγκυρότητα κωδικού επιβεβαίωσης συνδρομής δεν είναι έγκυρος."
"Message","Μήνυμα"
"Need to Confirm","Πρέπει να επιβεβαιώσετε"
"New Newsletter Template","Νέο πρότυπο ενημερωτικού δελτίου"
"New Template","Νέο πρότυπο"
"Newsletter","Ενημερωτικό δελτίο"
"Newsletter Message Preview","Προεπισκόπηση Μηνύματος Ενημερωτικού Δελτίου"
"Newsletter Problem Reports","Αναφορές Προβλημάτων Ενημερωτικού Δελτίου"
"Newsletter Queue","Ουρά Ενημερωτικού Δελτίου"
"Newsletter Sign-up:","Εγγραφή Νέα Λίστα:"
"Newsletter Styles","Στυλ ενημερωτικού δελτίου"
"Newsletter Subscribers","Συνδρομητές Ενημερωτικών Δελτίων"
"Newsletter Subscription","Συνδρομή στο Ενημερωτικό δελτίο"
"Newsletter Subscription Form Before","Φόρμα Εγγραφής Νέα Λέσχης Πριν"
"Newsletter Subscriptions","Συνδρομές σε Ενημερωτικά Δελτία"
"Newsletter Templates","Πρότυπα Ενημερωτικού Δελτίου"
"Newsletter subscription confirmation","Επιβεβαίωση της εγγραφής σε Ενημερωτικό δελτίο"
"Newsletter subscription success","Επιτυχία εγγραφής σε Ενημερωτικό δελτίο"
"Newsletter unsubscription success","Επιτυχία διαγραφής από Ενημερωτικό δελτίο"
"No Templates Found","Δεν Βρέθηκε Κανένα Πρότυπο"
"No problems found.","Δεν βρέθηκαν προβλήματα."
