"Actions","Ενέργειες"
"An error occurred while marking notification as read.","Σφάλμα κατά τη μαρκάρισμα ειδοποίησης ως αναγνωσμένης."
"An error occurred while marking the messages as read.","Σφάλμα κατά τη μαρκάρισμα των μηνυμάτων ως διαβασμένων."
"An error occurred while removing messages.","Σφάλμα κατά τη διαγραφή μηνυμάτων."
"An error occurred while removing the message.","Σφάλμα κατά τη διαγραφή του μηνύματος."
"Are you sure?","Είστε σίγουροι;"
"critical","κρίσιμο"
"Date Added","Ημερομηνίας Προσθήκης"
"Last Update","Τελευταία Ενημέρωση"
"major","σημαντικό"
"Mark as Read","Σήμανση ως αναγνωσμένο"
"Mark as read","Σήμανση ως διαβασμένο"
"Message","Μήνυμα"
"Messages Inbox","Εισερχόμενα μηνύματα"
"minor","χαμηλή"
"notice","ανακοίνωση"
"Notifications","Ειδοποιήσεις"
"Please select messages.","Παρακαλώ επιλέξτε μηνύματα."
"Read Details","Διαβάστε Λεπτομέρειες"
"Remove","Διαγραφή"
"Severity","Σοβαρότητα"
"Show List","Εμφάνιση Λίστας"
"Show Toolbar","Εμφάνιση γραμμής εργαλείων"
"The message has been marked as read.","Το μήνυμα έχει σημειωθεί ως αναγνωσμένο."
"The message has been removed.","Το μήνυμα έχει αφαιρεθεί."
"Total of %d record(s) have been marked as read.","Σύνολο των %d εγγραφών έχουν ορισθεί ως αναγνωσμένες."
"Total of %d record(s) have been removed.","Σύνολο των %d εγγραφών έχουν διαγραφεί."
"Unable to proceed. Please, try again.","Δεν μπορώ να συνεχίσω. Παρακαλώ, προσπάθησε ξανά."
"Update Frequency","Συχνότητα ενημέρωσης"
"Wrong message type","Λάθος τύπος μηνύματος"
