"--Please Select--","--Παρακαλώ Επιλέξτε--"
"Accepted Currency","Αποδεκτά Νομίσματα"
"API Login ID","ID Σύνδεσης API"
"Card Verification Number","Αριθμός Επικύρωσης Κάρτας"
"Card Verification Number Visual Reference","Οπτική αναφορά αριθμού επαλήθευσης κάρτας"
"Close","Κλείσιμο"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Credit Card Type","Είδος Πιστωτικής Κάρτας"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικών Καρτών"
"Debug","Αποσφαλμάτωση"
"Email Customer","Email Πελάτη"
"Enabled","Ενεργοποιημένο"
"Expiration Date","Ημερομηνία λήξης"
"Gateway URL","Διεύθυνση URL Πύλης"
"Maximum Order Total","Μέγιστο Σύνολο Παραγγελίας"
"Merchant's Email","Email Εμπόρου"
"Minimum Order Total","Ελάχιστο Σύνολο Παραγγελίας"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"Order saving error: %s","Σφάλμα αποθήκευσης παραγγελίας: %s"
"Payment Action","Ενέργεια Πληρωμής"
"Payment authorization error.","Σφάλμα έγκρισης πληρωμής"
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Sort Order","Σειρά Ταξινόμησης"
"Test Mode","Δοκιμαστική Λειτουργία"
"The order has been created.","Η παραγγελία έχει δημιουργηθεί."
"There was an error processing your order. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατα την επεξεργασία της παραγγελίας σας. Παρακαλούμε επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"Title","Τίτλος"
"Transaction Key","Κλειδί Συναλλαγής"
"What is this?","Τι είναι αυτό;"
