"%s and greater","%s και μεγαλύτερο"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","Σύνθετη Αναζήτηση"
"Advanced Search Form","Φόρμα Σύνθετης Αναζήτησης"
"Advanced Search Result","Αποτέλεσμα Σύνθετης Αναζήτησης"
"All","Όλα"
"Applies for ""Like"" search type only.","Ισχύει μόνο για τύπο αναζήτησης ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Εφαρμογή Πολυεπίπεδη πλοήγηση, εάν τα αποτελέσματα αναζήτησης είναι λιγότερο από"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Χάρτης Ιστοσελίδας Αυτόματης Δημιουργίας"
"Boost SKU Matches in Search Results","Boost SKU Αγώνες στα αποτελέσματα αναζήτησης"
"Catalog Advanced Search","Προηγμένη Αναζήτηση Καταλόγου"
"Catalog Search","Αναζήτηση Καταλόγου"
"Catalog Search Index","Ευρετήριο Αναζήτησης Καταλόγου"
"Categories","Κατηγορίες"
"Don't see what you're looking for?","Μην βλέπετε τι ψάχνετε?"
"Enable Category Search in Autosuggest","Ενεργοποίηση αναζήτησης κατηγοριών στο Autosuggest"
"Enter ""0"" to enable layered navigation for any number of results.","Εισάγετε ""0"" για να ενεργοποιήσετε την πολυεπίπεδη πλοήγηση για οποιοδήποτε αριθμό αποτελεσμάτων."
"Fulltext Separator","Fulltext Separator"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Home","Αρχική"
"List","Λίστα"
"Maximum Categories in Autosuggest","Μέγιστες κατηγορίες στο αυτόματο διακόπτη"
"Maximum Query Length","Μέγιστο Μήκος Ερωτήματος"
"Maximum Query Words Count","Μέγιστο Πλήθος Ερωτημάτων Λέξεων"
"Maximum Search query length is %s. Your query was cut.","Μέγιστο μήκος ερωτήματος αναζήτησης είναι %s. Το ερώτημά σας έχει κοπεί."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Ο μέγιστος αριθμός λέξεων είναι %1$s. Στο ερώτημα αναζήτησης σας αποκόφθηκε το επόμενο μέρος: %2$s."
"Minimal Query Length","Ελάχιστο Μήκος Ερωτήματος"
"Minimum Search query length is %s","Ελάχιστο μήκος ερωτήματος αναζήτησης είναι %s"
"Modify your search","Τροποποιήστε την αναζήτησή σας"
"No","Όχι"
"No items were found using the following search criteria.","Δεν βρέθηκαν αποτελέσματα χρησιμοποιώντας τα ακόλουθα κριτήρια αναζήτησης."
"Please specify at least one search term.","Παρακαλούμε προσδιορίστε τουλάχιστον έναν όρο αναζήτησης."
"Popular Search Terms","Δημοφιλείς Όροι Αναζήτησης"
"Products","Προϊόντα"
"Quick Search Form","Φόρμα Γρήγορης Αναζήτησης"
"Rebuild Catalog product fulltext search index","Επαναδημιουργία ευρετηρίου αναζήτησης πλήρους κειμένου προϊόντων καταλόγου"
"Redirect to product page if search generates one result","Ανακατεύθυνση στη σελίδα προϊόντος εάν η αναζήτηση δημιουργεί ένα αποτέλεσμα"
"Relevance","Συνάφεια"
"Results","Αποτελέσματα"
"Search","Αναζήτηση"
"Search:","Αναζήτηση:"
"Search entire store here...","Αναζήτηση σε ολόκληρο το κατάστημα εδώ..."
"Search results for '%s'","Αποτελέσματα αναζήτησης για '%s'"
"Search results for: '%s'","Αποτελέσματα αναζήτησης για: '%s'"
"Search Settings","Ρυθμίσεις Αναζήτησης"
"Search Terms","Όροι Αναζήτησης"
"Search Type","Τύπος Αναζήτησης"
"Show Autocomplete Results Count","Εμφάνιση Καταμέτρησης Αποτελεσμάτων Αυτόματης Ολοκλήρωσης"
"Specified date is invalid.","Η καθορισμένη ημερομηνία δεν είναι έγκυρη."
"Subscribe to Feed","Εγγραφείτε στη Ροή"
"up to %s","έως και %s"
"View all %s results","Δείτε όλα τα αποτελέσματα %s"
"When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results.","Όταν είναι ενεργοποιημένο και το SKU είναι αναζητήσιμο, τα προϊόντα που ταιριάζουν με SKU ενισχύονται στην κορυφή των αποτελεσμάτων αναζήτησης."
"Yes","Ναι"
"Your search returns no results.","Η αναζήτησή σας δεν επιστρέφει αποτελέσματα."
