"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation.","%s tag(s) have been accepted for moderation."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Ενέργεια"
"Add","Προσθήκη"
"Add New Tag","Add New Tag"
"Add tag(s) to product","Add tag(s) to product"
"Add Tags","Add Tags"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμιών"
"Add Your Tags:","Add Your Tags:"
"All Tags","All Tags"
"Approved","Εγκρίθηκε"
"Are you sure?","Είστε σίγουροι;"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Είστε βέβαιοι πως θέλετε να το κάνετε αυτό;"
"Back","Πίσω"
"Back to Tags List","Back to Tags List"
"Base Popularity","Base Popularity"
"Block Information","Πληροφορίες Μπλοκ"
"Catalog Product View","Catalog Product View"
"Change status","Αλλαγή κατάστασης"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Country","Χώρα"
"CSV","CSV"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customers","Πελάτες"
"Customer Since","Πελάτης Από"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Διαγραφή"
"Delete Tag","Delete Tag"
"Disabled","Απενεργοποιημένο"
"Edit Tag '%s'","Edit Tag '%s'"
"Email","Email"
"Enable Adding Tags in Frontend","Enable Adding Tags in Frontend"
"First Name","Όνομα"
"General Information","Γενικές Πληροφορίες"
"Grid","Πλέγμα"
"ID","ID"
"Info","Info"
"Last Name","Επώνυμο"
"List","Λίστα"
"Manage Tags","Manage Tags"
"Middle Name","Middle Name"
"My Recent Tags","My Recent Tags"
"My Tags","My Tags"
"Name","Όνομα"
"New Tag","New Tag"
"No matches found.","No matches found."
"Pending","Προς έγκριση"
"Pending Tags","Pending Tags"
"Popular","Popular"
"Popular Tags","Popular Tags"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Products","Προϊόντα"
"Product SKU","Product SKU"
"Products Tagged by Administrators","Products Tagged by Administrators"
"Products Tagged by Customers","Products Tagged by Customers"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"Product Tag API","Product Tag API"
"Product Tags","Product Tags"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"Remove","Διαγραφή"
"Remove product tag","Remove product tag"
"Retrieve list of tags by product","Retrieve list of tags by product"
"Retrieve product tag info","Retrieve product tag info"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Save Tag","Save Tag"
"SKU","Κωδικός"
"Status","Κατάσταση"
"Store View","Προβολή Καταστήματος"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" has been rejected by administrator."
"Tag Aggregation Data","Tag Aggregation Data"
"Tagged Products List","Tagged Products List"
"Tag Name","Tag Name"
"Tags","Ετικέτες"
"Tags:","Tags:"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Telephone","Telephone"
"There are no tags available.","There are no tags available."
"The tag has been deleted.","The tag has been deleted."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s).","Unable to save tag(s)."
"Update","Ενημέρωση"
"Update product tag","Update product tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"View All Tags","View All Tags"
"View Customers","View Customers"
"View Products","View Products"
"XML","XML"
"You have not tagged any products yet.","You have not tagged any products yet."
"ZIP/Post Code","Ταχυδρομικός Κώδικας"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
