"Action","Åtgärd"
"Active","Aktiv"
"Add New Rule","Lägg till ny regel"
"Apply rule to source products matching the following conditions (leave blank for all products)","Tillämpa regel för källprodukter som matchar följande villkor (lämna tomt för alla produkter)"
"Are you sure?","Är du säker?"
"Catalog","Katalog"
"Change status","Ändra status"
"Conditions","Villkor"
"Conditions Combination","Villkor Kombination"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expression for rule processing. Standard: <strong>0 3 * *</strong> (dagligen kl 3am)."
"Cron Schedule","Cron Schema"
"Cross-sell Products","Korsförsäljning av produkter"
"Delete","Radera"
"Delete Rule","Ta bort regel"
"Description","Beskrivning"
"Disabled","Inaktiverad"
"does not match source","matchar inte källan"
"Edit","Redigera"
"Edit Rule '%s'","Redigera regel '%s'"
"Enabled","Aktiverad"
"From Date","Från datum"
"ID","ID"
"Inactive","Inaktiv"
"Link to target products matching the following conditions (leave blank for all products)","Länk till målprodukter som matchar följande villkor (lämna tomt för alla produkter)"
"Link Type","Link Type"
"Lower number = higher priority","Lägre tal = högre prioritet"
"matches source","matchar källa"
"Maximum Links","Maximalt antal länkar"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximalt antal länkade produkter per källprodukt (lämna tomt för obegränsat)"
"Name: A-Z","Namn: A-Ö"
"Name: Z-A","Namn: Ö-A"
"Newest First","Nyaste först"
"New Rule","Ny regel"
"Oldest First","Äldsta först"
"Please select rule(s).","Vänligen välj regel(er)."
"Price: High to Low","Pris: Högt till Lågt"
"Price: Low to High","Pris: Låg till Hög"
"Priority","Prioritet"
"Product Attribute","Produktattribut"
"Product Link Rules","Regler för produktlänk"
"Product Relationship Rules","Regler för produktrelationer"
"Random (Default)","Slumpmässig (standard)"
"Related Products","Relaterade produkter"
"Rule Information","Regel Information"
"Rule Name","Regel namn"
"Save and Continue Edit","Spara och fortsätt redigera"
"Save Rule","Spara regel"
"Sort Order","Sortera efter"
"Source Product Conditions","Källa produktvillkor"
"Source products matching %s of these conditions are %s:","Källprodukter som matchar %s av dessa villkor är %s:"
"Status","Status"
"Target Conditions","Mål Villkor"
"Target product attribute will be compared to source product","Attribut för målprodukt kommer att jämföras med källprodukt"
"Target Product Conditions","Mål Produktvillkor"
"Target products matching %s of these conditions are %s:","Målprodukter som matchar %s av dessa villkor är %s:"
"The rule has been deleted.","Regeln har tagits bort."
"The rule has been saved.","Regeln har sparats."
"This rule no longer exists.","Denna regel existerar inte längre."
"To Date","Till datum"
"Total of %d record(s) were deleted.","Totalt antal %d poster har tagits bort."
"Total of %d record(s) were updated.","Totalt antal %d poster uppdaterades."
"Up-sell Products","Up-sell produkter"
