"%s-%s of %s","%s-%s din %s"
"%s - Go to Home Page","%s - Go to Home Page"
"%s Item(s)","%s Articol(e)"
"(Shift-)Click or drag to change value","(Shift-)Click sau trageți pentru a schimba valoarea"
"(ver. %s)","(ver. %s)"
"-- Please Select --","-- Selectați --"
"- Click on any of the time parts to increase it","- Click pe oricare dintre părțile de timp pentru a le incrementa"
"- Hold mouse button on any of the above buttons for faster selection.","- Țineți butonul mouse-ului pe oricare dintre butoanele de mai sus pentru selectare mai rapidă."
"- or click and drag for faster selection.","- sau click și tragere pentru selectare mai rapidă."
"- or Shift-click to decrease it","- sau Shift-click pentru a decrementa"
"- Use the %s, %s buttons to select year","- Folosiți butoanele %s pentru a selecta anul"
"- Use the %s buttons to select month","- Folosiți butoanele %s pentru a selecta luna"
"1 column","1 coloană"
"2 columns with left bar","2 coloane cu bară stânga"
"2 columns with right bar","2 coloane cu bară dreapta"
"3 columns","3 coloane"
"About the calendar","Despre calendar"
"Account","Cont"
"All Empty Layout Pages","Toate Paginile cu Schemă Goală"
"All Minimal Layout Pages","All Minimal Layout Pages"
"All One-Column Layout Pages","Toate Paginile cu Schemă O Coloană"
"Allow","Permitere"
"All Pages","Toate Paginile"
"All Pages (Print Version)","Toate Paginile (Versiune Imprimare)"
"All Rights Reserved.","All Rights Reserved."
"All Three-Column Layout Pages","Toate Paginile cu Schemă Trei Coloane"
"All Two-Column Layout Pages (Left Column)","Toate Paginile cu Schemă Două Coloane (Coloană Stânga)"
"All Two-Column Layout Pages (Right Column)","Toate Paginile cu Schemă Două Coloane (Coloană Dreapta)"
"Breadcrumbs","Cărămizi de navigare"
"Browser Notice","Browser Notice"
"Click <a href=""%s"">here</a> if nothing has happened","Faceți click <a href=""%s"">aici</a> dacă nu s-a întâmplat nimic"
"Close","închideți"
"Close Window","Închide fereastra"
"Date selection:","Selecție dată:"
"Default Description","Descriere Implicită"
"Default welcome msg!","Mesaj standard de bun venit!"
"DHTML Date/Time Selector","Selector Dată/Timp tip DHTML"
"Display %s first","Afișare %s prima dată"
"Distributed under GNU LGPL. See %s for details.","Distribuit sub licența GNU LGPL. Vedeți %s pentru detalii."
"Drag to move","Trageți pentru a muta"
"Empty","Gol"
"For latest version visit: %s","Pentru ultima versiune vizitați: %s"
"Free Shipping on orders over 50$","Expediere Gratuită pentru comenzi peste 50$"
"Go Today","Mergeți astăzi"
"Help Us to Keep Maho Healthy","Ajută-ne să menținem Maho sănătos"
"Interface Language","Limbă Interfață"
"Items %s to %s of %s total","Articolele de la %s până la %s din %s în total"
"JavaScript seems to be disabled in your browser.","JavaScript pare să fie dezactivat în browserul dvs."
"Left Column","Coloană Stânga"
"Left Column First (shows above main column on smaller screens)","Coloana stângă întâi (afișează deasupra coloanei principale pe ecranele mai mici)"
"Main Content Area","Suprafață Conținut Principal"
"Main Navigation","Main Navigation"
"Menu","Meniu"
"Navigation Bar","Bară Navigație"
"Next","Mai departe"
"Next month (hold for menu)","Luna următoare (apăsați pentru meniu)"
"Next year (hold for menu)","Anul următor (apăsați pentru meniu)"
"Page:","Pagina:"
"Page Bottom","Josul Paginii"
"Page Footer","Footer-ul Paginii"
"Page Header","Antetul Paginii"
"Page Top","Susul Paginii"
"per page","pe pagină"
"Prev. month (hold for menu)","Luna anterioară (apăsați pentru meniu)"
"Prev. year (hold for menu)","Anul anterior (apăsați pentru meniu)"
"Previous","Anterior"
"Primary sidebar","Primary sidebar"
"Primary sidebar","Primary sidebar"
"Redirecting...","Redirecționare..."
"Report All Bugs","Raportați Toate Problemele"
"Results per page","Rezultate pe pagină"
"Right Column","Coloana Dreaptă"
"Right sidebar","Right sidebar"
"Search","Căutare"
"Secondary sidebar","Secondary sidebar"
"Select date","Selectare dată"
"Select Store","Selectați magazinul"
"Select Store:","Selectare Magazin:"
"Show","Arată"
"Sidebar","Sidebar"
"Skip to main content","Skip to main content"
"Store Notice","Store Notice"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Acesta e un magazin demo. Orice comandă plasată prin intermediul acestui magazin nu va fi onorată sau livrată."
"Time:","Timp:"
"Time selection:","Selecție timp:"
"View All","Vizualizează tot"
"Welcome, %s!","Bine ați venit, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Trebuie să aveți JavaScript activat în browser pentru a utiliza funcționalitatea acestui site."
"Your Language","Limba dumneavoastră:"
"Your Language:","Limba dumneavoastră:"
