"%s's Wishlist","Lista de dorințe %s"
"%s - Discounts and Coupons","%s - Reduceri și Cupoane"
"%s - Special Products","%s - Produse speciale"
"%s has reached a quantity of %s.","%s a atins o cantitate de %s."
"%s RSS Feed","Flux %s RSS"
"Admin Catalog","Catalog Admin"
"Admin Order","Comanda Admin"
"Cannot retrieve the wishlist","Nu se poate prelua lista de dorințe"
"Catalog","Catalog"
"Category Feeds","Fluxuri Categorii"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">aici</a> pentru a vedea recenzia"
"Click for price","Click pentru preț"
"Comment: %s<br>","Comentariu: %s<br>"
"Coupons/Discounts","Cupoane/Reduceri"
"Current Status: %s<br>","Starea curentă: %s<br>"
"Customer Name: %s","Nume client: %s"
"Customer Order Notification","Notificare comandă client"
"Customer Order Status Notification","Notificare Stare Comandă Client"
"Details for %s #%s","Detalii pentru %s #%s"
"Discount","Reducere"
"Discount (%s)","Reducere (%s)"
"Enable RSS","Activează RSS"
"Enabling can increase security risk by exposing some order details.","Activarea poate crește riscul de securitate prin expunerea unor detalii ale comenzii."
"Error in processing xml. %s","Eroare la procesarea xml. %s"
"From:","De la:"
"Get Feed","Obține Feed"
"Gift Message","Mesaj cadou"
"Grand Total","Total general"
"Low Stock Products","Produse în stoc mic"
"Message:","Mesaj:"
"Miscellaneous Feeds","Diverse fluxuri"
"New Order Notification","Notificare comandă nouă"
"New Order Period (days)","Perioadă de comandă nouă (zile)"
"New Orders","Comenzi noi"
"New Products","Produse noi"
"New Products from %s","Produse noi de la %s"
"Notified Date: %s<br>","Data notificării: %s<br>"
"Order","Comanda"
"Order #%s created at %s","Comanda #%s a fost creată la %s"
"Order # %s Notification(s)","Comanda # %s Notificări"
"Pending product review(s)","Recenzie(i) produsului în așteptare"
"Product: ""%s"" review By: %s","Produs: ""%s"" recenzie după: %s"
"Product: <a href=""%s"">%s</a> <br>","Produs: <a href=""%s"">%s</a> <br>"
"Products tagged with %s","Produse etichetate cu %s"
"Purchased From: %s","Achiziționat de la: %s"
"Review: %s <br>","Recenzie: %s <br>"
"Review Notification","Revizuiește notificarea"
"Rss Config","Configurare RSS"
"RSS Feeds","Fluxuri RSS"
"RSS Feeds List","Listă Fluxuri RSS"
"Shipping &amp; Handling","Livrare &amp; Manipulare"
"Special Products","Produse speciale"
"Stock Notification","Notificare stoc"
"Store: %s <br>","Magazin: %s <br>"
"Subtotal","Subtotal"
"Summary of review: %s <br>","Rezumatul evaluării: %s <br>"
"Tags Products","Produse etichete"
"Tax","Taxa"
"There are no Rss Feeds","Nu există Fluxuri Rss"
"To:","Către:"
"Top Level Category","Categorie de top"
"Total: %s<br>","Total: %s<br>"
"Wishlist","Listă dorințe"
