"All Websites","Toate Website-urile"
"Apply Discounts To FPT","Aplicare Reduceri La TFP"
"Display Prices In Emails","Afișare Prețuri în E-mail-uri"
"Display Prices In Product Lists","Afișare Prețuri în Liste Produs"
"Display Prices In Sales Modules","Afișare Prețuri în Module Vânzări"
"Display Prices On Product View Page","Afișare Prețuri pe Pagina Vizualizare Produs"
"Enable FPT","Activare TFP"
"Excluding FPT","Excludere TFP"
"Excluding FPT, FPT description, final price","Excludere TFP, descriere TFP, preț final"
"Fixed Product Tax","Taxă Fixă Produs"
"Fixed Product Taxes","Taxe Fixe Produs"
"FPT Tax Configuration","Configurație Taxă TFP"
"Include FPT In Subtotal","Includere TFP în Subtotal"
"Including FPT and FPT description","Includere TFP și descriere TFP"
"Including FPT and FPT description [incl. FPT VAT]","Includere TFP și descriere TFP [incl. TVA TFP]"
"Including FPT only","Includere numai TFP"
"Loaded and Displayed with Tax","Încărcat și Afișat cu Taxe"
"Not Taxed","Ne-Taxat"
"Taxed","Taxat"
"Total","Total"
"Total Incl. Tax","Total Cu Taxe"
"Total incl. tax","Total cu taxe"
