"%s Index process is working now. Please try run this process later.","Procesul %s Index funcţionează acum. Vă rugăm să încercaţi să rulaţi acest proces mai târziu."
"%s index was rebuilt.","A fost reconstruit indexul %s."
"'%s' Index Process Information","'%s' Informații despre procesul de indexare"
"Action","Acțiune"
"Cannot initialize the indexer process.","Nu se poate inițializa procesul de indexare."
"Change Index Mode","Schimbă modul index"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Click aici pentru a merge la <a href=""%s"">Cache Management</a> şi a reîmprospăta tipurile de cache-uri."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Click aici pentru a merge la <a href=""%s"">Index Management</a> şi pentru a reconstrui indicii necesari."
"Delete","Ștergere"
"Description","Descriere"
"Disable","Dezactivează"
"Enable","Activare"
"General","Generalități"
"Index","Indice"
"Index Description","Descriere Index"
"Indexer code is not defined.","Codul de indexare nu este definit."
"Indexer model is not defined.","Modelul de indexare nu este definit."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Modelul de indexare ar trebui să extindă Mage_Index_Model_Index_Abstract."
"Index Management","Gestionare indexare"
"Index Mode","Mod Index"
"Index mode","Mod Index"
"Index Name","Nume Index"
"Manual Update","Actualizare manuală"
"Mode","Mod"
"Never","Niciodată"
"No","Nr"
"One or more of the Indexes are not up to date:","Unul sau mai multe indexuri nu sunt actualizate:"
"Please select Index(es)","Vă rugăm să selectaţi index(uri)"
"Please select Indexes","Vă rugăm să selectaţi indexuri"
"Process Information","Informații despre proces"
"Processing","Prelucrare"
"Ready","Gata"
"Refresh","Împrospătează"
"Reindex Data","Reindexare date"
"Reindex Required","Reindexare obligatorie"
"Revoke","Revoke"
"Status","Status"
"System","Sistem"
"The index has been saved.","Indicele a fost salvat."
"There was a problem with reindexing process.","A apărut o problemă cu procesul de reindexare."
"There was a problem with saving process.","A apărut o problemă cu salvarea procesului."
"Total of %d index(es) have changed index mode.","Totalul indexului %d a schimbat modul index."
"Total of %d index(es) have reindexed data.","Totalul indexului %d are date reindexate."
"Updated At","Actualizat la"
"Update on Save","Actualizare la Salvare"
"Update Required","Actualizare necesară"
"Yes","Da"
