"%s - Discounts and Coupons","%s - obniżki i kupony"
"%s - Special Products","%s - Specjalne Produkty"
"%s RSS Feed","%s Kanał RSS"
"%s has reached a quantity of %s.","%s osiągnął ilość %s"
"Admin Catalog","Admin Katalog"
"Admin Order","Zamówienie administracyjne"
"%s's Wishlist","Lista życzeń %s"
"Cannot retrieve the wishlist","Nie można pobrać listy życzeń"
"Catalog","Katalog"
"Category Feeds","Kanały kategorii"
"Click for price","Kliknij po cenę"
"Comment: %s<br/>","Komentarz: %s<br/>"
"Coupons/Discounts","Kupony/obniżki"
"Current Status: %s<br/>","Bieżący status: %s<br/>"
"Customer Name: %s","Nazwa klienta: %s"
"Customer Order Notification","Powiadomienie o Zamówieniu Klienta"
"Customer Order Status Notification","Powiadomienie o statusie zamówienia"
"Details for %s #%s","Szczegóły dla %s #%s"
"Discount","Zniżka"
"Discount (%s)","Zniżka (%s)"
"Enable RSS","Włącz RSS"
"Enabling can increase security risk by exposing some order details.","Włączanie może zwiększyć ryzyko bezpieczeństwa przez eksponowanie niektórych szczegółów zamówienia."
"Error in processing xml. %s","Błąd przetwarzania xml. %s"
"From:","Z:"
"Get Feed","Pobierz kanał"
"Gift Message","Wiadomość prezentowa"
"Grand Total","Łącznie"
"Low Stock Products","Produkty na wyczerpaniu"
"Message:","Wiadomość:"
"Miscellaneous Feeds","Różne kanały"
"New Order Notification","Powiadomienie o nowym zamówieniu"
"New Orders","Nowe zamówienia"
"New Products","Nowe produkty"
"New Products from %s","Nowe produkty od %s"
"Notified Date: %s<br/>","Data powiadomienia: %s<br/>"
"Order","Zamówienie"
"Order # %s Notification(s)","Powiadomienia zamówienia nr %s"
"Order #%s created at %s","Zamówienie nr %s utworzone %s"
"Pending product review(s)","Niezatwierdzone opinie"
"Product: ""%s"" review By: %s","Produkt: %s"" opinia napisana przez: %s"""
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=%s"">%s</a> <br/>"""
"Products tagged with %s","Produkty oznaczone tagiem %s"
"Purchased From: %s","Kupione od: %s"
"RSS","RSS"
"RSS Feeds","Kanały RSS"
"RSS Feeds List","Lista kanałów RSS"
"Review Notification","Powiadomienie o recenzji"
"Review: %s <br/>","Recenzja: %s <br/>"
"Rss Config","Konfiguracja RSS"
"Shipping &amp; Handling","Wysyłka &amp; Pakowanie"
"Special Products","Specjalne produkty"
"Stock Notification","Powiadomienie o stanie magazynu"
"Store: %s <br/>","Sklep: %s <br/>"
"Subtotal","Suma częściowa"
"Summary of review: %s <br/>","Podsumowanie recenzji: %s <br/>"
"Tags Products","Tagi produktów"
"Tax","Podatek"
"There are no Rss Feeds","Brak kanałów RSS"
"To:","Do:"
"Top Level Category","Kategoria najwyższego poziomu"
"Total: %s<br/>","Łącznie: %s<br/>"
"Wishlist","Schowek"
"click <a href=""%s"">here</a> to view the review","kliknij <a href=%s"">tu</a> aby zobaczyć opinię"""
