"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Are you sure you want to disable the selected cron job(s)?"
"At %s","At %s"
"Callback","Callback"
"Clear History","Clear History"
"Close","Close"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (zadania zaplanowane) – wszystkie czasy podane są w minutach"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server."
"Cron history has been cleared. %d record(s) deleted.","Cron history has been cleared. %d record(s) deleted."
"Cron job ""%s"" has been disabled.","Cron job ""%s"" has been disabled."
"Cron job ""%s"" has been enabled.","Cron job ""%s"" has been enabled."
"Cron Jobs","Cron Jobs"
"Daily","Codziennie"
"Daily at %s","Daily at %s"
"day %s","day %s"
"Disable","Disable"
"Disabled","Disabled"
"Enable","Enable"
"Enabled","Enabled"
"Every %d hours at minute %d","Every %d hours at minute %d"
"Every %d minutes","Every %d minutes"
"Every cron run","Every cron run"
"Every hour","Every hour"
"Every minute","Every minute"
"Execution History","Execution History"
"Failure History Lifetime","Cała historia niepowodzeń"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Dla prawidłowego generowania adresów URL podczas zadań cron upewnij się, że podstawowy niezabezpieczony i bezpieczny adres są poprawnie ustawione."
"Generate Schedules Every","Generuj plan zadań co"
"History","History"
"History Cleanup Every","Czyść historię co"
"hour %s","hour %s"
"Hourly","Co godzinę"
"Invalid callback: %s::%s does not exist","Błędne odwołanie: %s::%s nie istnieje"
"Invalid model/method definition, expecting ""model/class::method"".","Nieprawidłowa definicja modelu/metody, oczekiwane model/class::method""."""
"Job Code","Job Code"
"Last Run","Last Run"
"Last Status","Last Status"
"minute %s","minute %s"
"Missed","Missed"
"Missed if Not Run Within","Opuść jeśli nie zostanie uruchomione w ciągu"
"month %s","month %s"
"Monthly","Co miesiąc"
"Monthly on day %d at %s","Monthly on day %d at %s"
"Next Run","Next Run"
"No callbacks found","Nie znaleziono odwołań"
"No execution history found.","No execution history found."
"No job code specified.","No job code specified."
"No schedule ID specified.","No schedule ID specified."
"Not scheduled","Not scheduled"
"Pending","Pending"
"Please select cron job(s).","Please select cron job(s)."
"Run Cron Job","Run Cron Job"
"Running","Running"
"Running...","Running..."
"Run Now","Run Now"
"Schedule","Schedule"
"Schedule Ahead for","Harmonogram dla"
"Schedule not found.","Schedule not found."
"Success","Success"
"Success History Lifetime","Cała historia sukcesów"
"Too late for the schedule.","Za późno dla harmonogramu."
"Total of %d cron job(s) were disabled.","Total of %d cron job(s) were disabled."
"Total of %d cron job(s) were enabled.","Total of %d cron job(s) were enabled."
"Unable to save the cron expression.","Nie można zapisać wyrażenia cron."
"Unknown cron job: %s","Unknown cron job: %s"
"weekday %s","weekday %s"
"Weekly","Co tydzień"
"Weekly on %s at %s","Weekly on %s at %s"
