"%d country(s) were skipped because they no longer exist.","%d kraj(y) zostały pominięte, ponieważ już nie istnieją."
"%d region(s) were skipped because they have existing region names.","%d region(y) zostały pominięte, ponieważ posiadają istniejące nazwy regionów."
"-- Please select --","-- Wybierz --"
"A country with this ID already exists.","Kraj o tym ID już istnieje."
"Add New Country","Dodaj nowy kraj"
"Add New Region","Dodaj nowy region"
"Add Translation","Dodaj tłumaczenie"
"Allowed Currencies","Dozwolone waluty"
"An invalid base currency has been entered.","Wprowadzono nieprawidłową walutę bazową."
"API Access Key","Klucz dostępu API"
"API Key","Klucz API"
"A region name for this locale and region combination already exists.","Nazwa regionu dla tej kombinacji ustawień regionalnych i regionalnych już istnieje."
"A region with code ""%s"" already exists in this country.","Region z kodem ""%s"" już istnieje w tym kraju."
"Are you sure you want to delete the selected countries?","Czy na pewno chcesz usunąć wybrane kraje?"
"Are you sure you want to delete the selected region names?","Czy na pewno chcesz usunąć wybrane nazwy regionu?"
"Are you sure you want to delete the selected regions?","Czy na pewno chcesz usunąć wybrane regiony?"
"Are you sure you want to delete this country?","Czy na pewno chcesz usunąć ten kraj?"
"Are you sure you want to delete this region?","Czy na pewno chcesz usunąć ten region?"
"Base Currency","Waluta bazowa"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Waluta bazowa jest używana dla wszystkich transakcji płatności online. Zakres jest zdefiniowany przez zakres cen katalogu (""Katalog"" > ""Cena"" > ""Zakres cen katalogu"")."
"Cannot delete region with existing region names. Please delete all region names first.","Nie można usunąć regionu z istniejącymi nazwami regionów. Proszę najpierw usunąć wszystkie nazwy regionów."
"Close","Zamknij"
"Connection Timeout in Seconds","Limit czasu połączenia w sekundach"
"Continue &raquo;","Kontynuuj &raquo;"
"Countries","Kraje"
"Country","W związku z powyższym Komisja stwierdza, że w okresie objętym dochodzeniem przeglądowym przywóz produktu objętego postępowaniem z ChRL nie mógł zostać objęty środkami antydumpingowymi."
"Country and Format Type combination should be unique","Kombinacja kraju i formatu powinna być unikalna"
"Country API","API kraju"
"Country ID","Identyfikator kraju"
"Country ID cannot be changed after creation","ID kraju nie może zostać zmienione po utworzeniu"
"Country ID is required.","Identyfikator kraju jest wymagany."
"Country ID must be exactly 2 uppercase letters.","Identyfikator kraju musi mieć dokładnie 2 wielkie litery."
"Country Information","Informacje o kraju"
"Country is required.","Kraj jest wymagany."
"Country Name","Nazwa kraju"
"Currency","Waluta"
"CurrencyConverterAPI","Interfejs walut"
"Currency Options","Opcje waluty"
"Currency rates can't be retrieved.","Kursy walut nie mogą zostać pobrane."
"Currency rate service error: %s","Błąd usługi kursowej waluty: %s"
"Currency Setup","Ustawienia waluty"
"Currency Update Warnings","Ostrzeżenia o aktualizacji waluty"
"Default: only add new locales","Domyślnie: tylko dodaj nowe języki"
"Default Display Currency","Domyślna waluta wyświetlana"
"Default Name","Domyślna nazwa"
"Default name cannot be longer than 255 characters.","Domyślna nazwa nie może być dłuższa niż 255 znaków."
"Default name for this region in English","Domyślna nazwa tego regionu w języku angielskim"
"Default name is required.","Domyślna nazwa jest wymagana."
"Delete Country","Usuń kraj"
"Delete Region","Usuń region"
"Directory","Katalog"
"Directory Management","Zarządzanie katalogami"
"Display not required State","Wyświetl niewymagany stan"
"Edit Country","Edytuj kraj"
"Edit Country ""%s""","Edytuj kraj ""%s"""
"Edit Region","Edytuj region"
"Edit Region ""%s""","Edytuj region ""%s"""
"Enabled","Włączone"
"Error:","Błąd:"
"Error Email Recipient","Błąd adresu e-mail odbiorcy"
"Error Email Sender","Error Email Sender"
"Error Email Template","Błąd szablonu wiadomości e-mail"
"FATAL ERROR:","BŁĄD FATOR:"
"Frequency","Częstotliwość"
"Hold Ctrl/Cmd to select multiple countries","Przytrzymaj Ctrl/Cmd, aby wybrać wiele krajów"
"Hold Ctrl/Cmd to select multiple locales","Przytrzymaj Ctrl/Cmd, aby wybrać wiele lokalizacji"
"Import","Importuj"
"Import completed successfully.","Import zakończony pomyślnie."
"Import Regions","Importuj regiony"
"Import Results","Importuj wyniki"
"Installed Currencies","Zainstalowane waluty"
"Invalid country code: %s","Nieprawidłowy kod kraju: %s"
"Invalid Import Service specified.","Określono nieprawidłową usługę importowania."
"Invalid rates received","Otrzymano nieprawidłowe stawki"
"Invalid target currency.","Nieprawidłowa waluta docelowa."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","Wymagany jest kod ISO2."
"ISO2 code must be exactly 2 uppercase letters.","Kod ISO2 musi mieć dokładnie dwie wielkie litery."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","Wymagany jest kod ISO3."
"ISO3 code must be exactly 3 uppercase letters.","Kod ISO3 musi mieć dokładnie 3 wielkie litery."
"List of countries","Lista krajów"
"List of regions in specified country","Lista regionów w określonym kraju"
"Locale and region name are required.","Nazwa języka i regionu jest wymagana."
"Locale is required.","Wersja językowa jest wymagana."
"Locales","Locales"
"Localized Name","Zlokalizowana nazwa"
"Localized name for this region","Zlokalizowana nazwa dla tego regionu"
"Manage Countries","Zarządzaj krajami"
"Manage Directory","Zarządzaj katalogiem"
"Manage Regions","Zarządzaj regionami"
"Manage Translations","Zarządzaj tłumaczeniami"
"New Country","Nowy kraj"
"New Region","Nowy region"
"No API Key was specified or an invalid API Key was specified.","Nie określono klucza API lub określono nieprawidłowy klucz API."
"One or more invalid symbols have been specified.","Podano jeden lub więcej nieprawidłowych symboli."
"Please select at least one country.","Wybierz co najmniej jeden kraj."
"Please select at least one locale.","Wybierz co najmniej jeden język językowy."
"Please select country(s).","Proszę wybrać kraj(y)."
"Please select region(s).","Proszę wybrać region(y)."
"Please select region name(s).","Proszę wybrać nazwę regionu."
"Popular","Popularne"
"Postal Code is Optional for the following countries","Kod pocztowy jest fakultatywny dla następujących krajów"
"Preview changes without importing (Dry Run)","Podgląd zmian bez importowania (ryk Run)"
"Region","Region"
"Region API","API regionu"
"Region Code","Kod regionu"
"Region code cannot be longer than 32 characters.","Kod regionu nie może być dłuższy niż 32 znaki."
"Region ID","ID regionu"
"Region Information","Informacje o regionie"
"Region name cannot be longer than 255 characters.","Nazwa regionu nie może przekraczać 255 znaków."
"Region name is required.","Nazwa regionu jest wymagana."
"Regions","Regiony"
"Running...","Uruchamianie..."
"Running import...","Uruchamianie importu..."
"Save Country","Zapisz kraj"
"Save Region","Zapisz region"
"Scheduled Import Settings","Zaplanowane ustawienia importu"
"Selected country does not exist.","Wybrany kraj nie istnieje."
"Service","Usługa"
"Short code for this region (e.g. CA, NY, TX)","Krótki kod dla tego regionu (np. CA, NY, TX)"
"Shows what would be imported without making actual changes","Pokazuje co byłoby importowane bez dokonywania rzeczywistych zmian"
"Start Time","Czas rozpoczęcia"
"State/Province","Województwo"
"State is required for","Stan jest wymagany dla"
"States Options","Opcje stanów"
"System","System"
"The ""%s"" is not allowed as base currency for your subscription plan.","""%s"" jest niedozwolony jako waluta bazowa dla planu subskrypcji."
"The account this API request is coming from is inactive.","Konto z którego pochodzi żądanie API jest nieaktywne."
"The country has been deleted.","Kraj został usunięty."
"The country has been saved.","Kraj został zapisany."
"The current request did not return any results.","Bieżące żądanie nie zwróciło żadnych wyników."
"The maximum allowed API amount of monthly API requests has been reached.","Osiągnięto maksymalną dozwoloną ilość API miesięcznych żądań."
"The region has been deleted.","Region został usunięty."
"The region has been saved.","Region został zapisany."
"This country no longer exists.","Ten kraj już nie istnieje."
"This region no longer exists.","Ten region już nie istnieje."
"Three character ISO code (e.g. USA, GBR, DEU)","Trzyznakowy kod ISO (np. USA, GBR, DEU)"
"Top Countries","Najlepsze kraje"
"Two character country code (e.g. US, GB, DE)","Dwuznakowy kod kraju (np. USA, GB, DE)"
"Two character ISO code (usually same as Country ID)","Dwuznakowy kod ISO (zazwyczaj taki sam jak identyfikator kraju)"
"Unable to calculate rate for %s to %s.","Nie można obliczyć wskaźnika dla %s do %s."
"Unable to initialize the import model.","Nie można zainicjować modelu importu."
"Unable to retrieve rate for USD to %s.","Nie można pobrać kursu dla USD do %s."
"Undefined rate from ""%s-%s"".","Niezdefiniowana stawka z ""%s-%s""."
"Update existing regions and localized names","Aktualizuj istniejące regiony i zlokalizowane nazwy"
"WARNING:","UWAGA:"
"Your Currency","Twoja waluta"
"Your Currency:","Twoja waluta:"
"Your current currency is: %s","Twoja bieżąca waluta: %s"
