"Account Number","Numéro de compte"
"Advanced Matching","Correspondance avancée"
"Container ID","ID du conteneur"
"Enable","Activer"
"Enable GA4 Debug Real Time view for Development IP.","Activer la vue en temps réel de débogage GA4 pour IP de développement."
"Enable GA4 User_id tracking for logged in customers.","Activer le suivi GA4 User_id pour les clients connectés."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Gestionnaire de tags Google"
"Meta Pixel ID","Meta Pixel ID"
"Send hashed customer data (email, phone, name, etc.) with the pixel to improve event matching. Values are SHA-256 hashed server side.","Envoyer des données clients hachées (e-mail, téléphone, nom, etc.) avec le pixel pour améliorer la correspondance de l'événement. Les valeurs sont le côté serveur haché SHA-256."
"Type","Type de texte"
"User ID tracking","Suivi de l'ID de l'utilisateur"
