"%s Item(s)","%s article(s)"
"%s-%s of %s","%s-%s de %s"
"(Shift-)Click or drag to change value","Pour modifier la valeur, cliquez en maintenant la touche shift enfoncée ou glissez"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Cliquez sur l'une des parties de temps pour l'augmenter"
"- Hold mouse button on any of the above buttons for faster selection.","- Maintenez le bouton de la souris enfoncé sur l'un des boutons ci-dessus pour une sélection plus rapide."
"- Use the %s buttons to select month","- Utilisez les boutons %s pour sélectionner le mois"
"- Use the %s, %s buttons to select year","- Utilisez les boutons %s, %s pour sélectionner l'année"
"- or Shift-click to decrease it","- ou cliquez sur Maj pour le diminuer"
"- or click and drag for faster selection.","- ou cliquez et faites glisser pour une sélection plus rapide."
"-- Please Select --","-- Faites un choix --"
"1 column","1 colonne"
"2 columns with left bar","2 colonnes avec colonne de gauche"
"2 columns with right bar","2 colonnes avec colonne de droite"
"3 columns","3 colonnes"
"About the calendar","À propos du calendrier"
"Account","Compte"
"All Empty Layout Pages","Toutes les pages du gabarit vide"
"All One-Column Layout Pages","Toutes les pages du gabarit sur 1 colonne"
"All Pages","Toutes les pages"
"All Pages (Print Version)","Toutes les pages (version imprimable)"
"All Rights Reserved.","All Rights Reserved."
"All Three-Column Layout Pages","Toutes les pages du gabarit sur 3 colonnes"
"All Two-Column Layout Pages (Left Column)","Toutes les pages du gabarit sur 2 colonnes (colonne de gauche)"
"All Two-Column Layout Pages (Right Column)","Toutes les pages du gabarit sur 2 colonnes (colonne de droite)"
"Allow","Autoriser"
"Breadcrumbs","Fil d'Ariane"
"Click <a href=""%s"">here</a> if nothing has happened","Cliquez <a href=""%s"">ici</a> si rien ne se passe"
"Close","Fermer"
"Close Window","Fermer la fenêtre"
"DHTML Date/Time Selector","Sélecteur de date/heure DHTML"
"Date selection:","Sélection de date:"
"Default Description","Description par défaut"
"Default welcome msg!","Message d'accueil par défaut"
"Display %s first","Afficher d'abord %s"
"Distributed under GNU LGPL. See %s for details.","Distribué sous GNU LGPL. Voir %s pour les détails."
"Drag to move","Glisser pour déplacer"
"Empty","Vide"
"For latest version visit: %s","Pour la dernière version, visitez : %s"
"Free Shipping on orders over 50$","Livraison gratuite sur les commandes de plus de 50€"
"Go Today","Aller à aujourd'hui"
"Help Us to Keep Maho Healthy","Aidez-nous à maintenir Maho en bonne santé"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Articles <strong>%s</strong> à <strong>%s</strong> sur un total de <strong>%s</strong>"
"JavaScript seems to be disabled in your browser.","Javascript est désactivé dans votre navigateur."
"Left Column","Colonne de gauche"
"Left Column First (shows above main column on smaller screens)","Colonne de gauche d'abord (apparaît au-dessus de la colonne principale sur les écrans plus petits)"
"Main Content Area","Zone de contenu principal"
"Menu","Menu"
"Navigation Bar","Barre de navigation"
"Next","Suivant"
"Next month (hold for menu)","Mois suivant (maintenez pour le menu)"
"Next year (hold for menu)","Année prochaine (maintenez pour le menu)"
"Page Bottom","Bas de page"
"Page Footer","Pied de page"
"Page Header","En-tête de page"
"Page Top","Haut de page"
"Page:","Page :"
"Prev. month (hold for menu)","Mois précédent (maintenez pour le menu)"
"Prev. year (hold for menu)","Année précédente (maintenez pour le menu)"
"Previous","Précédent"
"Redirecting...","En cours de redirection..."
"Report All Bugs","Signaler un dysfonctionnement"
"Results per page","Résultats par page"
"Right Column","Colonne de droite"
"Search","Chercher"
"Select Store","Choisir un magasin"
"Select Store:","Choisir un magasin :"
"Select date","Sélectionner la date"
"Show","Afficher"
"Skip to main content","Skip to main content"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"Time selection:","Sélection du temps :"
"Time:","Heure :"
"View All","Tout voir"
"Welcome, %s!","Bienvenue, %s !"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Javascript doit être activé dans votre navigateur pour utiliser toutes les fonctionnalités de ce site."
"Your Language","Votre langue"
"Your Language:","Votre langue :"
"per page","par page"
